Gene name	White-tufted-ear marmoset gene name	White-tufted-ear marmoset homology type	Macaque gene name	Macaque homology type
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
			SP100	ortholog_one2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
	SP110	ortholog_one2many	SP110	ortholog_one2many
	SP110	ortholog_one2many	SP110	ortholog_one2many
				
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
				
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
	SP110	ortholog_one2many	SP110	ortholog_one2many
				
			SP100	ortholog_one2many
				
			PISD	ortholog_one2one
Gm20816				
Gm20817		ortholog_many2many	SYCP3	ortholog_one2many
Gm20817		ortholog_many2many	SYCP3	ortholog_one2many
Gm21562				
Gm28298				
Gm21572				
Gm28297				
Gm21723				
Gm28296				
Gm28295				
Gm21916				
Gm29191				
Gm29074				
Gm28519				
Gm28520				
Gm21626				
Gm28521				
Gm21633				
Gm28517				
Gm29531				
Gm28464				
Gm29656				
Gm28842				
Gm29655				
Gm29653				
Gm20870		ortholog_many2many	SYCP3	ortholog_one2many
Gm20870		ortholog_many2many	SYCP3	ortholog_one2many
Gm29182				
Gm20903		ortholog_many2many	SYCP3	ortholog_one2many
Gm20903		ortholog_many2many	SYCP3	ortholog_one2many
Gm28336				
Gm28259				
Gm20905		ortholog_many2many	SYCP3	ortholog_one2many
Gm20905		ortholog_many2many	SYCP3	ortholog_one2many
Gm20738				
Gm20814		ortholog_many2many	SYCP3	ortholog_one2many
Gm20814		ortholog_many2many	SYCP3	ortholog_one2many
Gm29278				
Gm20850		ortholog_many2many	SYCP3	ortholog_one2many
Gm20850		ortholog_many2many	SYCP3	ortholog_one2many
Gm20897		ortholog_many2many	SYCP3	ortholog_one2many
Gm20897		ortholog_many2many	SYCP3	ortholog_one2many
Gm29839				
Gm29309				
Gm28704				
Gm28540				
Gm20867				
Gm29565				
Gm29146				
Gm28816				
Gm20806				
Gm29276		ortholog_many2many	SYCP3	ortholog_one2many
Gm29276		ortholog_many2many	SYCP3	ortholog_one2many
Gm29645				
Gm28312				
Gm29042				
Gm28310				
Gm29606				
Gm29285				
Gm28157				
Gm28886				
Gm28458				
Gm28461				
Gm28460				
Gm28126				
Gm28851				
Gm28456				
Gm29646				
Gm29210				
Gm29213				
Gm28550				
Gm28604				
Gm28566				
Gm28697				
Gm28554				
Gm29098				
Gm54343				
Gm29373				
Gm54344				
Gm29166				
Gm28194				
Gm28753				
Gm28726				
Gm29271				
Gm28970				
Gm28971				
Gm54345				
Gm20854				
Gm28345				
Gm28152				
Gm54346				
Gm29511				
Gm20820		ortholog_many2many	SYCP3	ortholog_one2many
Gm20820		ortholog_many2many	SYCP3	ortholog_one2many
Gm54347				
Gm29117				
Gm20883		ortholog_many2many	SYCP3	ortholog_one2many
Gm20883		ortholog_many2many	SYCP3	ortholog_one2many
Gm28318				
Gm28316				
Gm28944				
Gm20906		ortholog_many2many	SYCP3	ortholog_one2many
Gm20906		ortholog_many2many	SYCP3	ortholog_one2many
Gm28945				
Gm28950				
Gm29063				
Gm28197				
Gm28735				
Gm28732				
Gm28733				
Gm28236				
Gm20747				
Gm29252				
Gm28908				
Gm20929		ortholog_many2many	SYCP3	ortholog_one2many
Gm20929		ortholog_many2many	SYCP3	ortholog_one2many
Gm28276				
Gm28274				
Gm29557				
Gm54348				
Gm28202				
Gm21450				
Gm28691				
Gm28690				
Gm28689				
Gm28687				
Gm20987				
Gm29207				
Gm29204				
Gm29342				
Gm20823				
Gm29547				
Gm29549				
Gm29421				
Gm21627		ortholog_many2many	SYCP3	ortholog_one2many
Gm21627		ortholog_many2many	SYCP3	ortholog_one2many
Gm29061				
Gm29625				
Gm29628				
Gm29622				
Gm29265				
Gm20908		ortholog_many2many	SYCP3	ortholog_one2many
Gm20908		ortholog_many2many	SYCP3	ortholog_one2many
Gm28252				
Gm28254				
Gm20924				
Gm29457				
Gm20736		ortholog_many2many	SYCP3	ortholog_one2many
Gm20736		ortholog_many2many	SYCP3	ortholog_one2many
Gm28561				
Gm29584				
Gm28135				
Gm28138				
Gm29379				
Gm29381				
Gm20852				
Ssty2				
Gm28613				
Gm29219				
Gm29632				
Gm29217				
Gm29636				
Gm29660				
Gm20937		ortholog_many2many	SYCP3	ortholog_one2many
Gm20937		ortholog_many2many	SYCP3	ortholog_one2many
Gm29450				
Gm38371				
Gm21366		ortholog_many2many	SYCP3	ortholog_one2many
Gm21366		ortholog_many2many	SYCP3	ortholog_one2many
Gm34217				
Gm37687				
Gm36345				
Gm37157				
Gm20809				
Gm31422				
Gm37346				
Gm32181				
Gm28852				
Gm28246				
Gm28249				
Gm28880				
Gm28454				
Gm28878				
Gm29399				
Gm28984				
Gm28128				
Gm28132				
Gm28130				
Gm29316				
Gm28216				
Gm28092				
Gm28091				
Gm29580				
Gm28089				
Gm28088				
Gm21529				
Gm29581				
Gm21539				
Gm29578				
Gm21780				
Gm28486				
Gm28487				
Rbmyf4	RBMY	ortholog_many2many		ortholog_many2many
Rbmyf4		ortholog_many2many		ortholog_many2many
Rbmyf4	RBMY	ortholog_many2many		ortholog_many2many
Rbmyf4		ortholog_many2many		ortholog_many2many
Rbmyf5	RBMY	ortholog_many2many		ortholog_many2many
Rbmyf5		ortholog_many2many		ortholog_many2many
Rbmyf5	RBMY	ortholog_many2many		ortholog_many2many
Rbmyf5		ortholog_many2many		ortholog_many2many
Rbmyf6	RBMY	ortholog_many2many		ortholog_many2many
Rbmyf6		ortholog_many2many		ortholog_many2many
Rbmyf6	RBMY	ortholog_many2many		ortholog_many2many
Rbmyf6		ortholog_many2many		ortholog_many2many
Rbmyf7	RBMY	ortholog_many2many		ortholog_many2many
Rbmyf7		ortholog_many2many		ortholog_many2many
Rbmyf7	RBMY	ortholog_many2many		ortholog_many2many
Rbmyf7		ortholog_many2many		ortholog_many2many
Rbmyf8	RBMY	ortholog_many2many		ortholog_many2many
Rbmyf8		ortholog_many2many		ortholog_many2many
Rbmyf8	RBMY	ortholog_many2many		ortholog_many2many
Rbmyf8		ortholog_many2many		ortholog_many2many
Rbmyf9	RBMY	ortholog_many2many		ortholog_many2many
Rbmyf9		ortholog_many2many		ortholog_many2many
Rbmyf9	RBMY	ortholog_many2many		ortholog_many2many
Rbmyf9		ortholog_many2many		ortholog_many2many
Gm29351				
Gm20918				
Gm20873				
Gm20830				
Gm28998		ortholog_many2many	SYCP3	ortholog_one2many
Gm28998		ortholog_many2many	SYCP3	ortholog_one2many
Gm28398				
Gm28395				
Gm28394				
Gm28393				
Gm20826				
Gm28576		ortholog_many2many	SYCP3	ortholog_one2many
Gm28576		ortholog_many2many	SYCP3	ortholog_one2many
Gm28575				
Gm28571				
Gm28570				
Gm29049				
Gm20825				
Gm20824		ortholog_many2many	SYCP3	ortholog_one2many
Gm20824		ortholog_many2many	SYCP3	ortholog_one2many
Gm20815				
Gm21310				
Gm20834				
Gm20828				
Gm37572				
Gm20822				
Gm37635				
Gm35070				
Gm38168				
Gm37927				
Gm20909				
Gm20865				
Zfy1	ZNF549	ortholog_many2many	ZNF549	ortholog_many2many
Zfy1	ZNF418	ortholog_many2many	ZNF549	ortholog_many2many
Zfy1	ZNF584	ortholog_many2many	ZNF549	ortholog_many2many
Zfy1	ZNF256	ortholog_many2many	ZNF549	ortholog_many2many
Zfy1	ZNF772	ortholog_many2many	ZNF549	ortholog_many2many
Zfy1	ZNF154	ortholog_many2many	ZNF549	ortholog_many2many
Zfy1	ZNF773	ortholog_many2many	ZNF549	ortholog_many2many
Zfy1		ortholog_many2many	ZNF549	ortholog_many2many
Zfy1	ZNF304	ortholog_many2many	ZNF549	ortholog_many2many
Zfy1		ortholog_many2many	ZNF549	ortholog_many2many
Zfy1		ortholog_many2many	ZNF549	ortholog_many2many
Zfy1		ortholog_many2many	ZNF549	ortholog_many2many
Zfy1	ZNF480	ortholog_many2many	ZNF549	ortholog_many2many
Zfy1	ZNF548	ortholog_many2many	ZNF549	ortholog_many2many
Zfy1	ZNF793	ortholog_many2many	ZNF549	ortholog_many2many
Zfy1	ZNF837	ortholog_many2many	ZNF549	ortholog_many2many
Zfy1	ZNF792	ortholog_many2many	ZNF549	ortholog_many2many
Zfy1	ZNF549	ortholog_many2many	ZNF552	ortholog_many2many
Zfy1	ZNF418	ortholog_many2many	ZNF552	ortholog_many2many
Zfy1	ZNF584	ortholog_many2many	ZNF552	ortholog_many2many
Zfy1	ZNF256	ortholog_many2many	ZNF552	ortholog_many2many
Zfy1	ZNF772	ortholog_many2many	ZNF552	ortholog_many2many
Zfy1	ZNF154	ortholog_many2many	ZNF552	ortholog_many2many
Zfy1	ZNF773	ortholog_many2many	ZNF552	ortholog_many2many
Zfy1		ortholog_many2many	ZNF552	ortholog_many2many
Zfy1	ZNF304	ortholog_many2many	ZNF552	ortholog_many2many
Zfy1		ortholog_many2many	ZNF552	ortholog_many2many
Zfy1		ortholog_many2many	ZNF552	ortholog_many2many
Zfy1		ortholog_many2many	ZNF552	ortholog_many2many
Zfy1	ZNF480	ortholog_many2many	ZNF552	ortholog_many2many
Zfy1	ZNF548	ortholog_many2many	ZNF552	ortholog_many2many
Zfy1	ZNF793	ortholog_many2many	ZNF552	ortholog_many2many
Zfy1	ZNF837	ortholog_many2many	ZNF552	ortholog_many2many
Zfy1	ZNF792	ortholog_many2many	ZNF552	ortholog_many2many
Zfy1	ZNF549	ortholog_many2many	ZNF418	ortholog_many2many
Zfy1	ZNF418	ortholog_many2many	ZNF418	ortholog_many2many
Zfy1	ZNF584	ortholog_many2many	ZNF418	ortholog_many2many
Zfy1	ZNF256	ortholog_many2many	ZNF418	ortholog_many2many
Zfy1	ZNF772	ortholog_many2many	ZNF418	ortholog_many2many
Zfy1	ZNF154	ortholog_many2many	ZNF418	ortholog_many2many
Zfy1	ZNF773	ortholog_many2many	ZNF418	ortholog_many2many
Zfy1		ortholog_many2many	ZNF418	ortholog_many2many
Zfy1	ZNF304	ortholog_many2many	ZNF418	ortholog_many2many
Zfy1		ortholog_many2many	ZNF418	ortholog_many2many
Zfy1		ortholog_many2many	ZNF418	ortholog_many2many
Zfy1		ortholog_many2many	ZNF418	ortholog_many2many
Zfy1	ZNF480	ortholog_many2many	ZNF418	ortholog_many2many
Zfy1	ZNF548	ortholog_many2many	ZNF418	ortholog_many2many
Zfy1	ZNF793	ortholog_many2many	ZNF418	ortholog_many2many
Zfy1	ZNF837	ortholog_many2many	ZNF418	ortholog_many2many
Zfy1	ZNF792	ortholog_many2many	ZNF418	ortholog_many2many
Zfy1	ZNF549	ortholog_many2many	ZNF584	ortholog_many2many
Zfy1	ZNF418	ortholog_many2many	ZNF584	ortholog_many2many
Zfy1	ZNF584	ortholog_many2many	ZNF584	ortholog_many2many
Zfy1	ZNF256	ortholog_many2many	ZNF584	ortholog_many2many
Zfy1	ZNF772	ortholog_many2many	ZNF584	ortholog_many2many
Zfy1	ZNF154	ortholog_many2many	ZNF584	ortholog_many2many
Zfy1	ZNF773	ortholog_many2many	ZNF584	ortholog_many2many
Zfy1		ortholog_many2many	ZNF584	ortholog_many2many
Zfy1	ZNF304	ortholog_many2many	ZNF584	ortholog_many2many
Zfy1		ortholog_many2many	ZNF584	ortholog_many2many
Zfy1		ortholog_many2many	ZNF584	ortholog_many2many
Zfy1		ortholog_many2many	ZNF584	ortholog_many2many
Zfy1	ZNF480	ortholog_many2many	ZNF584	ortholog_many2many
Zfy1	ZNF548	ortholog_many2many	ZNF584	ortholog_many2many
Zfy1	ZNF793	ortholog_many2many	ZNF584	ortholog_many2many
Zfy1	ZNF837	ortholog_many2many	ZNF584	ortholog_many2many
Zfy1	ZNF792	ortholog_many2many	ZNF584	ortholog_many2many
Zfy1	ZNF549	ortholog_many2many	ZNF256	ortholog_many2many
Zfy1	ZNF418	ortholog_many2many	ZNF256	ortholog_many2many
Zfy1	ZNF584	ortholog_many2many	ZNF256	ortholog_many2many
Zfy1	ZNF256	ortholog_many2many	ZNF256	ortholog_many2many
Zfy1	ZNF772	ortholog_many2many	ZNF256	ortholog_many2many
Zfy1	ZNF154	ortholog_many2many	ZNF256	ortholog_many2many
Zfy1	ZNF773	ortholog_many2many	ZNF256	ortholog_many2many
Zfy1		ortholog_many2many	ZNF256	ortholog_many2many
Zfy1	ZNF304	ortholog_many2many	ZNF256	ortholog_many2many
Zfy1		ortholog_many2many	ZNF256	ortholog_many2many
Zfy1		ortholog_many2many	ZNF256	ortholog_many2many
Zfy1		ortholog_many2many	ZNF256	ortholog_many2many
Zfy1	ZNF480	ortholog_many2many	ZNF256	ortholog_many2many
Zfy1	ZNF548	ortholog_many2many	ZNF256	ortholog_many2many
Zfy1	ZNF793	ortholog_many2many	ZNF256	ortholog_many2many
Zfy1	ZNF837	ortholog_many2many	ZNF256	ortholog_many2many
Zfy1	ZNF792	ortholog_many2many	ZNF256	ortholog_many2many
Zfy1	ZNF549	ortholog_many2many	ZNF134	ortholog_many2many
Zfy1	ZNF418	ortholog_many2many	ZNF134	ortholog_many2many
Zfy1	ZNF584	ortholog_many2many	ZNF134	ortholog_many2many
Zfy1	ZNF256	ortholog_many2many	ZNF134	ortholog_many2many
Zfy1	ZNF772	ortholog_many2many	ZNF134	ortholog_many2many
Zfy1	ZNF154	ortholog_many2many	ZNF134	ortholog_many2many
Zfy1	ZNF773	ortholog_many2many	ZNF134	ortholog_many2many
Zfy1		ortholog_many2many	ZNF134	ortholog_many2many
Zfy1	ZNF304	ortholog_many2many	ZNF134	ortholog_many2many
Zfy1		ortholog_many2many	ZNF134	ortholog_many2many
Zfy1		ortholog_many2many	ZNF134	ortholog_many2many
Zfy1		ortholog_many2many	ZNF134	ortholog_many2many
Zfy1	ZNF480	ortholog_many2many	ZNF134	ortholog_many2many
Zfy1	ZNF548	ortholog_many2many	ZNF134	ortholog_many2many
Zfy1	ZNF793	ortholog_many2many	ZNF134	ortholog_many2many
Zfy1	ZNF837	ortholog_many2many	ZNF134	ortholog_many2many
Zfy1	ZNF792	ortholog_many2many	ZNF134	ortholog_many2many
Zfy1	ZNF549	ortholog_many2many	ZNF154	ortholog_many2many
Zfy1	ZNF418	ortholog_many2many	ZNF154	ortholog_many2many
Zfy1	ZNF584	ortholog_many2many	ZNF154	ortholog_many2many
Zfy1	ZNF256	ortholog_many2many	ZNF154	ortholog_many2many
Zfy1	ZNF772	ortholog_many2many	ZNF154	ortholog_many2many
Zfy1	ZNF154	ortholog_many2many	ZNF154	ortholog_many2many
Zfy1	ZNF773	ortholog_many2many	ZNF154	ortholog_many2many
Zfy1		ortholog_many2many	ZNF154	ortholog_many2many
Zfy1	ZNF304	ortholog_many2many	ZNF154	ortholog_many2many
Zfy1		ortholog_many2many	ZNF154	ortholog_many2many
Zfy1		ortholog_many2many	ZNF154	ortholog_many2many
Zfy1		ortholog_many2many	ZNF154	ortholog_many2many
Zfy1	ZNF480	ortholog_many2many	ZNF154	ortholog_many2many
Zfy1	ZNF548	ortholog_many2many	ZNF154	ortholog_many2many
Zfy1	ZNF793	ortholog_many2many	ZNF154	ortholog_many2many
Zfy1	ZNF837	ortholog_many2many	ZNF154	ortholog_many2many
Zfy1	ZNF792	ortholog_many2many	ZNF154	ortholog_many2many
Zfy1	ZNF549	ortholog_many2many	ZNF773	ortholog_many2many
Zfy1	ZNF418	ortholog_many2many	ZNF773	ortholog_many2many
Zfy1	ZNF584	ortholog_many2many	ZNF773	ortholog_many2many
Zfy1	ZNF256	ortholog_many2many	ZNF773	ortholog_many2many
Zfy1	ZNF772	ortholog_many2many	ZNF773	ortholog_many2many
Zfy1	ZNF154	ortholog_many2many	ZNF773	ortholog_many2many
Zfy1	ZNF773	ortholog_many2many	ZNF773	ortholog_many2many
Zfy1		ortholog_many2many	ZNF773	ortholog_many2many
Zfy1	ZNF304	ortholog_many2many	ZNF773	ortholog_many2many
Zfy1		ortholog_many2many	ZNF773	ortholog_many2many
Zfy1		ortholog_many2many	ZNF773	ortholog_many2many
Zfy1		ortholog_many2many	ZNF773	ortholog_many2many
Zfy1	ZNF480	ortholog_many2many	ZNF773	ortholog_many2many
Zfy1	ZNF548	ortholog_many2many	ZNF773	ortholog_many2many
Zfy1	ZNF793	ortholog_many2many	ZNF773	ortholog_many2many
Zfy1	ZNF837	ortholog_many2many	ZNF773	ortholog_many2many
Zfy1	ZNF792	ortholog_many2many	ZNF773	ortholog_many2many
Zfy1	ZNF549	ortholog_many2many	ZNF304	ortholog_many2many
Zfy1	ZNF418	ortholog_many2many	ZNF304	ortholog_many2many
Zfy1	ZNF584	ortholog_many2many	ZNF304	ortholog_many2many
Zfy1	ZNF256	ortholog_many2many	ZNF304	ortholog_many2many
Zfy1	ZNF772	ortholog_many2many	ZNF304	ortholog_many2many
Zfy1	ZNF154	ortholog_many2many	ZNF304	ortholog_many2many
Zfy1	ZNF773	ortholog_many2many	ZNF304	ortholog_many2many
Zfy1		ortholog_many2many	ZNF304	ortholog_many2many
Zfy1	ZNF304	ortholog_many2many	ZNF304	ortholog_many2many
Zfy1		ortholog_many2many	ZNF304	ortholog_many2many
Zfy1		ortholog_many2many	ZNF304	ortholog_many2many
Zfy1		ortholog_many2many	ZNF304	ortholog_many2many
Zfy1	ZNF480	ortholog_many2many	ZNF304	ortholog_many2many
Zfy1	ZNF548	ortholog_many2many	ZNF304	ortholog_many2many
Zfy1	ZNF793	ortholog_many2many	ZNF304	ortholog_many2many
Zfy1	ZNF837	ortholog_many2many	ZNF304	ortholog_many2many
Zfy1	ZNF792	ortholog_many2many	ZNF304	ortholog_many2many
Zfy1	ZNF549	ortholog_many2many		ortholog_many2many
Zfy1	ZNF418	ortholog_many2many		ortholog_many2many
Zfy1	ZNF584	ortholog_many2many		ortholog_many2many
Zfy1	ZNF256	ortholog_many2many		ortholog_many2many
Zfy1	ZNF772	ortholog_many2many		ortholog_many2many
Zfy1	ZNF154	ortholog_many2many		ortholog_many2many
Zfy1	ZNF773	ortholog_many2many		ortholog_many2many
Zfy1		ortholog_many2many		ortholog_many2many
Zfy1	ZNF304	ortholog_many2many		ortholog_many2many
Zfy1		ortholog_many2many		ortholog_many2many
Zfy1		ortholog_many2many		ortholog_many2many
Zfy1		ortholog_many2many		ortholog_many2many
Zfy1	ZNF480	ortholog_many2many		ortholog_many2many
Zfy1	ZNF548	ortholog_many2many		ortholog_many2many
Zfy1	ZNF793	ortholog_many2many		ortholog_many2many
Zfy1	ZNF837	ortholog_many2many		ortholog_many2many
Zfy1	ZNF792	ortholog_many2many		ortholog_many2many
Zfy1	ZNF549	ortholog_many2many		ortholog_many2many
Zfy1	ZNF418	ortholog_many2many		ortholog_many2many
Zfy1	ZNF584	ortholog_many2many		ortholog_many2many
Zfy1	ZNF256	ortholog_many2many		ortholog_many2many
Zfy1	ZNF772	ortholog_many2many		ortholog_many2many
Zfy1	ZNF154	ortholog_many2many		ortholog_many2many
Zfy1	ZNF773	ortholog_many2many		ortholog_many2many
Zfy1		ortholog_many2many		ortholog_many2many
Zfy1	ZNF304	ortholog_many2many		ortholog_many2many
Zfy1		ortholog_many2many		ortholog_many2many
Zfy1		ortholog_many2many		ortholog_many2many
Zfy1		ortholog_many2many		ortholog_many2many
Zfy1	ZNF480	ortholog_many2many		ortholog_many2many
Zfy1	ZNF548	ortholog_many2many		ortholog_many2many
Zfy1	ZNF793	ortholog_many2many		ortholog_many2many
Zfy1	ZNF837	ortholog_many2many		ortholog_many2many
Zfy1	ZNF792	ortholog_many2many		ortholog_many2many
Zfy1	ZNF549	ortholog_many2many		ortholog_many2many
Zfy1	ZNF418	ortholog_many2many		ortholog_many2many
Zfy1	ZNF584	ortholog_many2many		ortholog_many2many
Zfy1	ZNF256	ortholog_many2many		ortholog_many2many
Zfy1	ZNF772	ortholog_many2many		ortholog_many2many
Zfy1	ZNF154	ortholog_many2many		ortholog_many2many
