Gene name	Human gene name	Human homology type
Y_RNA	Y_RNA	ortholog_one2one
U6	RNU6-830P	ortholog_one2one
Metazoa_SRP	RN7SL229P	ortholog_one2one
Metazoa_SRP	RN7SL294P	ortholog_one2one
	PSMA3	ortholog_one2one
U6	RNU6-1297P	ortholog_one2one
U6	RNU6-106P	ortholog_one2one
GJA8	GJA8	ortholog_one2one
ID3	ID3	ortholog_one2one
CNST	CNST	ortholog_one2one
CCDC190	CCDC190	ortholog_one2one
	ERVH48-1	ortholog_one2many
TFB2M	TFB2M	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
SMYD3	SMYD3	ortholog_one2one
U6	RNU6-1283P	ortholog_one2one
NPR1	NPR1	ortholog_one2one
KIF26B	KIF26B	ortholog_one2one
U1	RNU1-132P	ortholog_one2one
SH2D5	SH2D5	ortholog_one2one
EFCAB2	EFCAB2	ortholog_one2one
U6	RNU6-999P	ortholog_one2one
KIAA1143	KIAA1143	ortholog_one2one
U6	RNU6-1089P	ortholog_one2one
U6	RNU6-947P	ortholog_one2one
SERP1	SERP1	ortholog_one2one
HNRNPU	HNRNPU	ortholog_one2one
COX20	COX20	ortholog_one2one
PSEN2	PSEN2	ortholog_one2one
DESI2	DESI2	ortholog_one2one
COL8A2	COL8A2	ortholog_one2one
CATSPERE	CATSPERE	ortholog_one2one
COQ8A	COQ8A	ortholog_one2one
ADPRS	ADPRS	ortholog_one2one
CIART	CIART	ortholog_one2one
ADSS2	ADSS2	ortholog_one2one
TEKT2	TEKT2	ortholog_one2one
DTL	DTL	ortholog_one2one
SPMIP3	SPMIP3	ortholog_one2one
AGO3	AGO3	ortholog_one2one
U6	RNU6-1200P	ortholog_one2one
Metazoa_SRP	RN7SL148P	ortholog_one2one
E2F2	E2F2	ortholog_one2one
ILF2	ILF2	ortholog_one2one
ZBTB18	ZBTB18	ortholog_one2one
PPP2R5A	PPP2R5A	ortholog_one2one
POU3F1	POU3F1	ortholog_one2one
SNORA16B	SNORA16B	ortholog_one2one
ASAP3	ASAP3	ortholog_one2one
AGO1	AGO1	ortholog_one2one
PACC1	PACC1	ortholog_one2one
DDOST	KIF17	ortholog_one2one
NENF	NENF	ortholog_one2one
AKT3	AKT3	ortholog_one2one
PPP2R3A	PPP2R3A	ortholog_one2one
SNAPIN	SNAPIN	ortholog_one2one
SLC6A9	SLC6A9	ortholog_one2one
GPR160	GPR160	ortholog_one2one
PINK1	PINK1	ortholog_one2one
CHTOP	CHTOP	ortholog_one2one
U4	RNU4-38P	ortholog_one2one
TCEA3	TCEA3	ortholog_one2one
S100A1	S100A1	ortholog_one2one
CDA	CDA	ortholog_one2one
EPHB3	EPHB3	ortholog_one2one
CCDC24	CCDC24	ortholog_one2one
S100A13	S100A13	ortholog_one2one
	PSMG2	ortholog_one2many
AGO4	AGO4	ortholog_one2one
S100A14	S100A14	ortholog_one2one
MSL2	MSL2	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
B4GALT2	B4GALT2	ortholog_one2one
FAM43B	FAM43B	ortholog_one2one
S100A16	S100A16	ortholog_one2one
CDC42BPA	CDC42BPA	ortholog_one2one
DNAH1	DNAH1	ortholog_one2one
ZNF436	ZNF436	ortholog_one2one
MAGEF1	MAGEF1	ortholog_one2one
S100A2	S100A2	ortholog_one2one
MUL1	MUL1	ortholog_one2one
PHC3	PHC3	ortholog_one2one
SDCCAG8	SDCCAG8	ortholog_one2one
S100A3	S100A3	ortholog_one2one
GLUL	GLUL	ortholog_one2one
CAMK2N1	CAMK2N1	ortholog_one2one
S100A4	S100A4	ortholog_one2one
DPH2	DPH2	ortholog_one2one
HNRNPR	HNRNPR	ortholog_one2one
S100A5	S100A5	ortholog_one2one
S100A6	S100A6	ortholog_one2one
TEDDM1	TEDDM1	ortholog_one2one
PCCB	PCCB	ortholog_one2one
FCAMR	FCAMR	ortholog_one2one
Metazoa_SRP	RN7SL44P	ortholog_one2one
VWA5B1	VWA5B1	ortholog_one2one
GJA5	GJA5	ortholog_one2one
CLSPN	CLSPN	ortholog_one2one
C1H1orf116	C1orf116	ortholog_one2one
Metazoa_SRP	RN7SL261P	ortholog_one2one
	S100A7A	ortholog_one2many
HTR1D	HTR1D	ortholog_one2one
YOD1	YOD1	ortholog_one2one
RGSL1	RGSL1	ortholog_one2one
ATF3	ATF3	ortholog_one2one
U6	RNU6-135P	ortholog_one2one
U6	RNU6-514P	ortholog_one2one
CHL1	CHL1	ortholog_one2one
GARIN4	GARIN4	ortholog_one2one
USP24	USP24	ortholog_one2one
	S100A7A	ortholog_one2many
LUZP1	LUZP1	ortholog_one2one
GCLM	GCLM	ortholog_one2one
BAP1	BAP1	ortholog_one2one
U6	RNU6-315P	ortholog_one2one
IPO13	IPO13	ortholog_one2one
PFKFB2	PFKFB2	ortholog_one2one
UBXN10	UBXN10	ortholog_one2one
C1H1orf54	C1orf54	ortholog_one2one
BATF3	BATF3	ortholog_one2one
S100A8	S100A8	ortholog_one2one
PLA2G2C	PLA2G2C	ortholog_one2one
C1H1orf216	C1orf216	ortholog_one2one
S100A12	S100A12	ortholog_one2one
S100A9	S100A9	ortholog_one2one
DNTTIP2	DNTTIP2	ortholog_one2one
PLA2G2F	PLA2G2F	ortholog_one2one
RNASEL	RNASEL	ortholog_one2one
PGLYRP4	PGLYRP4	ortholog_one2one
NSL1	NSL1	ortholog_one2one
PSMB2	PSMB2	ortholog_one2one
U6	RNU6-160P	ortholog_one2one
PGLYRP3	PGLYRP3	ortholog_one2one
MIR760	MIR760	ortholog_one2one
PLA2G2D	PLA2G2D	ortholog_one2one
C4BPB	C4BPB	ortholog_one2one
KDM1A	KDM1A	ortholog_one2one
MIR4677	MIR4677	ortholog_one2one
RGS16	RGS16	ortholog_one2one
ARTN	ARTN	ortholog_one2one
TFAP2E	TFAP2E	ortholog_one2one
TATDN3	TATDN3	ortholog_one2one
PRR9	PRR9	ortholog_one2one
PLA2G5	PLA2G5	ortholog_one2one
PRKCI	PRKCI	ortholog_one2one
PHF7	PHF7	ortholog_one2one
SPATA45	SPATA45	ortholog_one2one
RGS8	RGS8	ortholog_one2one
PLA2G2A	PLA2G2A	ortholog_one2one
Metazoa_SRP	RN7SL304P	ortholog_one2one
NCDN	NCDN	ortholog_one2one
BCAR3	BCAR3	ortholog_one2one
ZBTB8B	ZBTB8B	ortholog_one2one
Metazoa_SRP	RN7SL122P	ortholog_one2one
FLVCR1	FLVCR1	ortholog_one2one
PLA2G2E	PLA2G2E	ortholog_one2one
VPS8	VPS8	ortholog_one2one
SEMA3G	SEMA3G	ortholog_one2one
ST3GAL3	ST3GAL3	ortholog_one2one
CEP170	CEP170	ortholog_one2one
UTP11	UTP11	ortholog_one2one
OTUD3	OTUD3	ortholog_one2one
		ortholog_one2one
SPRR3	SPRR3	ortholog_one2one
VASH2	VASH2	ortholog_one2one
TNNC1	TNNC1	ortholog_one2one
FNBP1L	FNBP1L	ortholog_one2one
BSDC1	BSDC1	ortholog_one2one
RNF186	RNF186	ortholog_one2one
NPL	NPL	ortholog_one2one
HIVEP3	HIVEP3	ortholog_one2one
IVL	IVL	ortholog_one2one
CD55	CD55	ortholog_one2one
SMCP	SMCP	ortholog_one2one
KIAA0319L	KIAA0319L	ortholog_one2one
ANGEL2	ANGEL2	ortholog_one2one
TMCO4	TMCO4	ortholog_one2one
EDN2	EDN2	ortholog_one2one
STAG1	STAG1	ortholog_one2one
LCE1F	LCE1F	ortholog_one2one
FOXO6	FOXO6	ortholog_one2one
	LCE1B	ortholog_one2many
	LCE1C	ortholog_one2many
Y_RNA	Y_RNA	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
	LCE1E	ortholog_many2many
	LCE1D	ortholog_many2many
TEX46	TEX46	ortholog_one2one
	LCE1E	ortholog_many2many
	LCE1D	ortholog_many2many
HTR6	HTR6	ortholog_one2one
Metazoa_SRP	RN7SL120P	ortholog_one2one
NISCH	NISCH	ortholog_one2one
	LCE1E	ortholog_many2many
	LCE1D	ortholog_many2many
LACTBL1	LACTBL1	ortholog_one2one
KDM4A	KDM4A	ortholog_one2one
KPRP	KPRP	ortholog_one2one
SKIL	SKIL	ortholog_one2one
DHX9	DHX9	ortholog_one2one
SCMH1	SCMH1	ortholog_one2one
CR2	CR2	ortholog_one2one
NBL1	NBL1	ortholog_one2one
CCDC18	CCDC18	ortholog_one2one
	LCE2B	ortholog_many2many
	LCE2C	ortholog_many2many
	LCE2D	ortholog_many2many
GTPBP8	GTPBP8	ortholog_one2one
PLD5	PLD5	ortholog_one2one
CNTN6	CNTN6	ortholog_one2one
	LCE2B	ortholog_many2many
	LCE2C	ortholog_many2many
	LCE2D	ortholog_many2many
CLDN11	CLDN11	ortholog_one2one
MRPS25	MRPS25	ortholog_one2one
TMIGD3	TMIGD3	ortholog_one2one
EPHB2	EPHB2	ortholog_one2one
SLFNL1	SLFNL1	ortholog_one2one
RPS6KC1	RPS6KC1	ortholog_one2one
TSSK3	TSSK3	ortholog_one2one
CR1	CR1	ortholog_one2one
NEPRO	NEPRO	ortholog_one2one
	NDUFB8	ortholog_one2many
SLC7A14	SLC7A14	ortholog_one2one
FAM229A	FAM229A	ortholog_one2one
U6	RNU6-792P	ortholog_one2one
CRCT1	CRCT1	ortholog_one2one
RBSN	RBSN	ortholog_one2one
LCE5A	LCE5A	ortholog_one2one
	MAP1LC3C	ortholog_one2many
C1H1orf162	C1orf162	ortholog_one2one
CTPS1	CTPS1	ortholog_one2one
SHCBP1L	SHCBP1L	ortholog_one2one
BECN2	BECN2	ortholog_one2one
MARCKSL1	MARCKSL1	ortholog_one2one
CRNN	CRNN	ortholog_one2one
CR1L	CR1L	ortholog_one2one
ATP5PB	ATP5PB	ortholog_one2many
TMED5	TMED5	ortholog_one2one
RUSC1	RUSC1	ortholog_one2one
HDAC1	HDAC1	ortholog_one2one
FLG2	FLG2	ortholog_one2one
	ABHD4	ortholog_one2many
EXO1	EXO1	ortholog_one2one
RPL22L1	RPL22L1	ortholog_one2one
LAMC1	LAMC1	ortholog_one2one
U4	RNU4-28P	ortholog_one2one
C1QB	C1QB	ortholog_one2one
EIF5A2	EIF5A2	ortholog_one2one
TRH	TRH	ortholog_one2one
U1	RNU1-70P	ortholog_one2one
APH1A	APH1A	ortholog_one2one
C1QC	C1QC	ortholog_one2one
MTF2	MTF2	ortholog_one2one
LCK	LCK	ortholog_one2one
CITED4	CITED4	ortholog_one2one
SLC2A2	SLC2A2	ortholog_one2one
CAPZB	CAPZB	ortholog_one2one
ACP6	ACP6	ortholog_one2one
WDR64	WDR64	ortholog_one2one
CD46	CD46	ortholog_one2one
KCNQ4	KCNQ4	ortholog_one2one
OVGP1	OVGP1	ortholog_one2one
CNTN4	CNTN4	ortholog_one2one
TMCC1	TMCC1	ortholog_one2one
BCL9	BCL9	ortholog_one2one
PCSK9	PCSK9	ortholog_one2one
Metazoa_SRP	RN7SL326P	ortholog_one2one
U6	U6	ortholog_one2one
Y_RNA	RNY3P13	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
EPHA8	EPHA8	ortholog_one2one
LAMC2	LAMC2	ortholog_one2one
ZMYM4	ZMYM4	ortholog_one2one
STAB1	STAB1	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
FMO5	FMO5	ortholog_one2one
FHL3	FHL3	ortholog_one2one
U6	RNU6-210P	ortholog_one2one
IL5RA	IL5RA	ortholog_one2one
SLC66A1	SLC66A1	ortholog_one2one
KIF15	KIF15	ortholog_one2one
NFYC	NFYC	ortholog_one2one
OPN3	OPN3	ortholog_one2one
FAM167B	FAM167B	ortholog_one2one
U6	RNU6-1284P	ortholog_one2one
Metazoa_SRP	RN7SL692P	ortholog_one2one
U6	RNU6-970P	ortholog_one2one
TRNT1	TRNT1	ortholog_one2one
EIF3I	EIF3I	ortholog_one2one
PLXND1	PLXND1	ortholog_one2one
KMO	KMO	ortholog_one2one
LDLRAP1	LDLRAP1	ortholog_one2one
SLC35G2	SLC35G2	ortholog_one2one
ZBTB40	ZBTB40	ortholog_one2one
TMEM234	TMEM234	ortholog_one2one
DIPK1A	DIPK1A	ortholog_one2one
BSND	BSND	ortholog_one2one
EIF2A	EIF2A	ortholog_one2one
CIMAP3	CIMAP3	ortholog_one2one
MIR29C	MIR29C	ortholog_one2one
SF3A3	SF3A3	ortholog_one2one
CRBN	CRBN	ortholog_one2one
mml-mir-29b-2	MIR29B2	ortholog_one2one
PROX1	PROX1	ortholog_one2one
TMEM61	TMEM61	ortholog_one2one
CHD1L	CHD1L	ortholog_one2one
		ortholog_one2one
CHIA	CHIA	ortholog_one2one
FH	FH	ortholog_one2one
AKR7A2	AKR7A2	ortholog_one2one
NCK1	NCK1	ortholog_one2one
RPL5	RPL5	ortholog_one2one
mml-mir-30c-1	MIR30C1	ortholog_one2one
IQCC	IQCC	ortholog_one2one
NMNAT2	NMNAT2	ortholog_one2one
CD34	CD34	ortholog_one2one
mml-mir-30e	MIR30E	ortholog_one2one
SNORA66	SNORA66	ortholog_one2one
DHCR24	DHCR24	ortholog_one2one
SNORD21	SNORD21	ortholog_one2one
MACO1	MACO1	ortholog_one2one
SMYD2	SMYD2	ortholog_one2one
IL20RB	IL20RB	ortholog_one2one
RIMS3	RIMS3	ortholog_one2one
LRRN1	LRRN1	ortholog_one2one
Metazoa_SRP	RN7SL752P	ortholog_one2one
C2H3orf70	C3orf70	ortholog_one2one
	BCCIP	ortholog_one2one
CHI3L2	CHI3L2	ortholog_one2one
CIMAP2	CIMAP2	ortholog_one2one
H1-8	H1-8	ortholog_one2one
PRKAB2	PRKAB2	ortholog_one2one
PTPN14	PTPN14	ortholog_one2one
PTPRF	PTPRF	ortholog_one2one
RHO	RHO	ortholog_one2one
EHHADH	EHHADH	ortholog_one2one
U6	RNU6-1099P	ortholog_one2one
RGS7	RGS7	ortholog_one2one
WNT4	WNT4	ortholog_one2one
SETMAR	SETMAR	ortholog_one2one
DCDC2B	DCDC2B	ortholog_one2one
AKR7A3	AKR7A3	ortholog_one2one
EVI5	EVI5	ortholog_one2one
INPP5B	INPP5B	ortholog_one2one
RHCE	RHD	ortholog_one2many
RHCE	RHCE	ortholog_one2many
PLXNA2	PLXNA2	ortholog_one2one
ZNF684	ZNF684	ortholog_one2one
MRTO4	MRTO4	ortholog_one2many
TGM4	TGM4	ortholog_one2one
CCDC28B	CCDC28B	ortholog_one2one
FDPS	FDPS	ortholog_one2many
TNIK	TNIK	ortholog_one2one
CENPF	CENPF	ortholog_one2one
EXO5	EXO5	ortholog_one2one
DENND2D	DENND2D	ortholog_one2one
SUMF1	SUMF1	ortholog_one2one
CLDN18	CLDN18	ortholog_one2one
CDC42	CDC42	ortholog_one2one
MAP3K13	MAP3K13	ortholog_one2one
ZFP69B	ZFP69B	ortholog_one2one
CASR	CASR	ortholog_one2one
GREM2	GREM2	ortholog_one2one
TMEM50A	TMEM50A	ortholog_one2one
TXLNA	TXLNA	ortholog_one2one
TTC22	TTC22	ortholog_one2one
U6	RNU6-584P	ortholog_one2one
Metazoa_SRP	RN7SL503P	ortholog_one2one
MTF1	MTF1	ortholog_one2one
EMC1	EMC1	ortholog_one2one
ZDHHC3	ZDHHC3	ortholog_one2one
DZIP1L	DZIP1L	ortholog_one2one
FMN2	FMN2	ortholog_one2one
PARS2	PARS2	ortholog_one2one
C1H1orf122	C1orf122	ortholog_one2one
SMAP2	SMAP2	ortholog_one2one
CELA3B	CELA3A	ortholog_one2one
SFPQ	SFPQ	ortholog_one2one
SMG7	SMG7	ortholog_one2one
YRDC	YRDC	ortholog_one2one
RSRP1	RSRP1	ortholog_one2one
KCNK2	KCNK2	ortholog_one2one
Metazoa_SRP	RN7SL186P	ortholog_one2many
Metazoa_SRP	RN7SL386P	ortholog_one2many
MANEAL	MANEAL	ortholog_one2one
RGS4	RGS4	ortholog_one2one
SYF2	SYF2	ortholog_one2one
CA14	CA14	ortholog_one2one
U5	RNU5D-1	ortholog_one2one
SNAP47	SNAP47	ortholog_one2one
TTC4	TTC4	ortholog_one2one
KPNA6	KPNA6	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2many
Y_RNA	Y_RNA	ortholog_one2many
CEPT1	CEPT1	ortholog_one2one
U1	RNVU1-19	ortholog_one2many
U1	RNVU1-15	ortholog_one2many
U1	RNVU1-14	ortholog_one2many
mml-mir-205	MIR205	ortholog_one2one
IFT122	IFT122	ortholog_one2one
KCTD3	KCTD3	ortholog_one2many
EPHA10	EPHA10	ortholog_one2one
COL9A2	COL9A2	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
DBR1	DBR1	ortholog_one2one
GFI1	GFI1	ortholog_one2one
Metazoa_SRP	RN7SL582P	ortholog_one2one
MRPL3	MRPL3	ortholog_one2one
JMJD4	JMJD4	ortholog_one2one
TMEM41A	LIPH	ortholog_one2one
EXOSC7	EXOSC7	ortholog_one2one
CHRM3	CHRM3	ortholog_one2one
TXNIP	TXNIP	ortholog_one2one
CAMK1G	CAMK1G	ortholog_one2one
SNORA58	SNORA58	ortholog_one2one
ZMYM1	ZMYM1	ortholog_one2one
PRSS38	PRSS38	ortholog_one2one
MROH7	MROH7	ortholog_one2one
CDCA8	CDCA8	ortholog_one2one
PHGDH	PHGDH	ortholog_one2one
CLEC3B	CLEC3B	ortholog_one2one
CPNE4	CPNE4	ortholog_one2one
U2	RNU2-17P	ortholog_one2one
WNT9A	WNT9A	ortholog_one2one
HJV	HJV	ortholog_one2one
RUNX3	RUNX3	ortholog_one2one
SELENOT	SELENOT	ortholog_one2one
LYPLAL1	LYPLAL1	ortholog_one2one
SENP2	SENP2	ortholog_one2one
Metazoa_SRP	RN7SL824P	ortholog_one2one
USH2A	USH2A	ortholog_one2one
RGS5	RGS5	ortholog_one2one
WNT3A	WNT3A	ortholog_one2one
ANP32E	ANP32E	ortholog_one2one
AIRIM	AIRIM	ortholog_one2one
POLR3GL	POLR3GL	ortholog_one2one
CDCP1	CDCP1	ortholog_one2one
CLIC4	CLIC4	ortholog_one2one
TMEM39B	TMEM39B	ortholog_one2one
LAMB3	LAMB3	ortholog_one2one
NT5DC2	NT5DC2	ortholog_one2one
ERICH6	ERICH6	ortholog_one2one
ARF1	ARF1	ortholog_one2one
	PSMC6	ortholog_one2many
FXR1	FXR1	ortholog_one2one
VPS13D	VPS13D	ortholog_one2one
LRIF1	LRIF1	ortholog_one2one
ACOT11	ACOT11	ortholog_one2one
U6	RNU6-1208P	ortholog_one2one
ZNF697	ZNF697	ortholog_one2one
NUF2	NUF2	ortholog_one2one
IGF2BP2	IGF2BP2	ortholog_one2one
RPAP2	RPAP2	ortholog_one2one
RSPO1	RSPO1	ortholog_one2one
ZMYM6	ZMYM6	ortholog_one2one
SLC30A10	SLC30A10	ortholog_one2one
	SSU72L5	ortholog_one2many
	SSU72L3	ortholog_one2many
	SSU72L1	ortholog_one2many
	SSU72L6	ortholog_one2many
	SSU72L4	ortholog_one2many
	SSU72L2	ortholog_one2many
TMEM158	TMEM158	ortholog_one2one
Metazoa_SRP	RN7SL738P	ortholog_one2one
Metazoa_SRP	RN7SL480P	ortholog_one2one
U3	U3	ortholog_one2one
HSD3B1	HSD3B1	ortholog_one2one
ACP3	ACP3	ortholog_one2one
U3	U3	ortholog_one2one
UQCC5	UQCC5	ortholog_one2one
ZMPSTE24	ZMPSTE24	ortholog_one2one
ZP4	ZP4	ortholog_one2one
ARMC8	ARMC8	ortholog_one2one
	WSB2	ortholog_one2many
	SNORD113-3	ortholog_one2many
KHDRBS1	KHDRBS1	ortholog_one2one
SNORD116	SNORD116	ortholog_one2one
HSD3B2	HSD3B2	ortholog_one2one
SIAH2	SIAH2	ortholog_one2one
TRA2B	TRA2B	ortholog_one2one
PLEKHO1	PLEKHO1	ortholog_one2one
GNL2	GNL2	ortholog_one2one
ANKRD34A	ANKRD34A	ortholog_one2one
FAM151A	FAM151A	ortholog_one2one
PBRM1	PBRM1	ortholog_one2one
U5	RNU5F-6P	ortholog_one2one
SRRM1	SRRM1	ortholog_one2one
TMCO2	TMCO2	ortholog_one2one
NCF2	NCF2	ortholog_one2one
LIX1L	LIX1L	ortholog_one2one
LARS2	LARS2	ortholog_one2one
HAO2	HAO2	ortholog_one2one
MINDY4B	MINDY4B	ortholog_one2one
TMEM35B	TMEM35B	ortholog_one2one
RLF	RLF	ortholog_one2one
GLMN	GLMN	ortholog_one2one
RBM8A	RBM8A	ortholog_one2one
GUK1	GUK1	ortholog_one2one
ESRRG	ESRRG	ortholog_one2one
VPS45	VPS45	ortholog_one2one
U6	RNU6-1237P	ortholog_one2one
CLRN1	CLRN1	ortholog_one2one
ETV5	ETV5	ortholog_one2one
Metazoa_SRP	RN7SL811P	ortholog_one2many
U1	RNU1-75P	ortholog_one2one
RYR2	RYR2	ortholog_one2one
DLGAP3	DLGAP3	ortholog_one2one
U6	RNU6-856P	ortholog_one2one
	ARPC5	ortholog_one2one
GJC2	GJC2	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_one2one
PTP4A2	PTP4A2	ortholog_one2one
G0S2	G0S2	ortholog_one2one
PPT1	PPT1	ortholog_one2one
NCMAP	NCMAP	ortholog_one2one
	IBA57	ortholog_one2one
PEX11B	PEX11B	ortholog_one2one
GNL3	GNL3	ortholog_one2one
PBX1	PBX1	ortholog_one2one
DNAJC13	DNAJC13	ortholog_one2one
MED12L	MED12L	ortholog_one2one
HSD11B1	HSD11B1	ortholog_one2one
DNALI1	DNALI1	ortholog_one2one
CD53	CD53	ortholog_one2one
OTUD7B	OTUD7B	ortholog_one2one
LIMD1	LIMD1	ortholog_one2one
SNIP1	SNIP1	ortholog_one2one
LSAMP	LSAMP	ortholog_one2one
ITGA10	ITGA10	ortholog_one2one
SNORD19	SNORD19	ortholog_one2one
MBD4	MBD4	ortholog_one2one
GPATCH2	GPATCH2	ortholog_one2one
SNORD19B	SNORD19B	ortholog_one2one
BTBD8	BTBD8	ortholog_one2one
RCAN3	RCAN3	ortholog_one2one
DGKG	DGKG	ortholog_one2one
SNORD69	SNORD69	ortholog_one2one
GJA4	GJA4	ortholog_one2one
SSBP3	SSBP3	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
TRAF3IP3	TRAF3IP3	ortholog_one2one
RGL1	RGL1	ortholog_one2one
NME9	NME9	ortholog_one2one
GJB3	GJB3	ortholog_one2one
GLT8D1	GLT8D1	ortholog_one2one
GJB4	GJB4	ortholog_one2one
Metazoa_SRP	RN7SL815P	ortholog_one2one
DNAJC19	DNAJC19	ortholog_one2one
KCNA3	KCNA3	ortholog_one2one
EFCAB12	EFCAB12	ortholog_one2one
GJB5	GJB5	ortholog_one2one
MTMR11	MTMR11	ortholog_one2one
WARS2	WARS2	ortholog_one2one
KCNA2	KCNA2	ortholog_one2one
EPRS1	EPRS1	ortholog_one2one
mml-mir-552	MIR552	ortholog_one2one
SPCS1	SPCS1	ortholog_one2one
U6	RNU6-171P	ortholog_one2one
MEAF6	MEAF6	ortholog_one2one
	SNORA7B	ortholog_many2many
	SNORA7A	ortholog_many2many
GPR171	GPR171	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_one2one
NIPAL3	NIPAL3	ortholog_one2one
GAP43	GAP43	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
P2RY14	P2RY14	ortholog_one2one
SF3B4	SF3B4	ortholog_one2one
KCNA10	KCNA10	ortholog_one2one
H1-10	H1-10	ortholog_one2one
GPR87	GPR87	ortholog_one2one
SPATA17	SPATA17	ortholog_one2one
U6	RNU6-755P	ortholog_one2one
C1H1orf74	C1orf74	ortholog_one2one
NEK4	NEK4	ortholog_one2one
P2RY13	P2RY13	ortholog_one2one
SPOCD1	SPOCD1	ortholog_one2one
LMX1A	LMX1A	ortholog_one2one
CRYGS	CRYGS	ortholog_one2one
P2RY12	P2RY12	ortholog_one2one
IRF6	IRF6	ortholog_one2one
PROK1	PROK1	ortholog_one2one
C1H1orf94	C1orf94	ortholog_one2one
STPG1	STPG1	ortholog_one2one
HMCES	HMCES	ortholog_one2one
SACM1L	SACM1L	ortholog_one2one
SV2A	SV2A	ortholog_one2one
MRAS	MRAS	ortholog_one2one
TBCCD1	TBCCD1	ortholog_one2one
IGSF10	IGSF10	ortholog_one2one
TBX15	TBX15	ortholog_one2one
UTP25	UTP25	ortholog_one2one
UBR4	UBR4	ortholog_one2one
MRPL37	MRPL37	ortholog_one2one
LAMTOR5	LAMTOR5	ortholog_one2one
U1	RNU1-141P	ortholog_one2one
CAP1	CAP1	ortholog_one2one
ZC3H12A	ZC3H12A	ortholog_one2one
MTR	MTR	ortholog_one2one
ITIH1	ITIH1	ortholog_one2one
RRP15	RRP15	ortholog_one2one
