Gene stable ID	Gene name	Macaque gene stable ID	Macaque gene name	Macaque homology type
ENSMUSG00000095076		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000095672		ENSMMUG00000012197	SP110	ortholog_one2many
ENSMUSG00000094514		ENSMMUG00000016575	SP100	ortholog_one2many
ENSMUSG00000094741		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000094741		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000094741		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000094741		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000094741		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000094741		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000094741		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000094741		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000074720		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000074720		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000074720		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000074720		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000074720		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000074720		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000074720		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000074720		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000094337		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000094337		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000094337		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000094337		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000094337		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000094337		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000094337		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000094337		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000095570		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000095570		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000095570		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000095570		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000095570		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000095570		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000095570		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000095570		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000096728		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000096728		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000096728		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000096728		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000096728		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000096728		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000096728		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000096728		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000094836		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000094836		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000094836		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000094836		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000094836		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000094836		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000094836		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000094836		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000094383		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000094383		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000094383		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000094383		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000094383		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000094383		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000094383		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000094383		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000094474		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000094474		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000094474		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000094474		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000094474		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000094474		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000094474		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000094474		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000094791		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000094791		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000094791		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000094791		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000094791		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000094791		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000094791		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000094791		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000096550	Gm16367	ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000096550	Gm16367	ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000096550	Gm16367	ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000096550	Gm16367	ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000096550	Gm16367	ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000096550	Gm16367	ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000096550	Gm16367	ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000096550	Gm16367	ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000094172		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000094172		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000094172		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000094172		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000094172		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000094172		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000094172		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000094172		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000094303		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000094303		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000094303		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000094303		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000094303		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000094303		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000094303		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000094303		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000094887		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000094887		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000094887		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000094887		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000094887		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000094887		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000094887		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000094887		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000096236		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000096236		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000096236		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000096236		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000096236		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000096236		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000096236		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000096236		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000091585		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000091585		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000091585		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000091585		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000091585		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000091585		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000091585		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000091585		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000096756		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000096756		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000096756		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000096756		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000096756		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000096756		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000096756		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000096756		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000095041		ENSMMUG00000002182	PISD	ortholog_one2one
ENSMUSG00000095763		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000095763		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000095763		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000095763		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000095763		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000095763		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000095763		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000095763		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000095523		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000095523		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000095523		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000095523		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000095523		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000095523		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000095523		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000095523		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000095475		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000095475		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000095475		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000095475		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000095475		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000095475		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000095475		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000095475		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000095092		ENSMMUG00000012197	SP110	ortholog_one2many
ENSMUSG00000094855		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000094855		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000094855		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000094855		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000094855		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000094855		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000094855		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000094855		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000094874		ENSMMUG00000012197	SP110	ortholog_one2many
ENSMUSG00000094799		ENSMMUG00000012197	SP110	ortholog_one2many
ENSMUSG00000096808		ENSMMUG00000049479		ortholog_one2many
ENSMUSG00000096808		ENSMMUG00000055833		ortholog_one2many
ENSMUSG00000095634	Gm20816	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000095634	Gm20816	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000100032	Gm20817	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000100535	Gm20870	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000099782	Gm20903	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000101157	Gm20905	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000094575	Gm20738	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000094575	Gm20738	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000101146	Gm20814	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000100902	Gm20850	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000100892	Gm20897	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000096898	Gm20867	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000096898	Gm20867	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000094739	Gm20806	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000094739	Gm20806	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000101471	Gm29276	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000095650	Gm20854	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000095650	Gm20854	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000100240	Gm20820	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000102122	Gm20883	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000099856	Gm20906	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000094729	Gm20747	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000094729	Gm20747	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000100045	Gm20929	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000093950	Gm20823	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000093950	Gm20823	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000100856	Gm21627	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000101766	Gm20908	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000095785	Gm20924	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000095785	Gm20924	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000093993	Gm20736	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000096666	Gm20852	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000096666	Gm20852	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000095302	Ssty2	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000095302	Ssty2	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000096016	Gm20937	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000103919	Gm21366	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000093868	Gm20809	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000093868	Gm20809	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000101667	Gm29289	ENSMMUG00000057875		ortholog_many2many
ENSMUSG00000101667	Gm29289	ENSMMUG00000039261		ortholog_many2many
ENSMUSG00000093918	Gm21677	ENSMMUG00000057875		ortholog_many2many
ENSMUSG00000093918	Gm21677	ENSMMUG00000039261		ortholog_many2many
ENSMUSG00000094511	Gm21693	ENSMMUG00000057875		ortholog_many2many
ENSMUSG00000094511	Gm21693	ENSMMUG00000039261		ortholog_many2many
ENSMUSG00000093987	Gm21704	ENSMMUG00000057875		ortholog_many2many
ENSMUSG00000093987	Gm21704	ENSMMUG00000039261		ortholog_many2many
ENSMUSG00000095948	Gm21708	ENSMMUG00000057875		ortholog_many2many
ENSMUSG00000095948	Gm21708	ENSMMUG00000039261		ortholog_many2many
ENSMUSG00000096520	Gm3376	ENSMMUG00000057875		ortholog_many2many
ENSMUSG00000096520	Gm3376	ENSMMUG00000039261		ortholog_many2many
ENSMUSG00000093927	Gm20918	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000093927	Gm20918	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000095148	Gm20873	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000095148	Gm20873	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000096686	Gm20830	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000096686	Gm20830	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000100939	Gm28998	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000094081	Gm20826	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000094081	Gm20826	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000100645	Gm28576	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000099861	Gm29049	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000099861	Gm29049	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000095324	Gm20825	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000095324	Gm20825	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000101928	Gm20824	ENSMMUG00000063989	SYCP3	ortholog_one2many
ENSMUSG00000101053	Gm20815	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000101053	Gm20815	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000095032	Gm21310	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000095032	Gm21310	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000095242	Gm20834	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000095242	Gm20834	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000094838	Gm20828	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000094838	Gm20828	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000095172	Gm20822	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000095172	Gm20822	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000094294	Gm20909	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000094294	Gm20909	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000093848	Gm20865	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000093848	Gm20865	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000005339	ZNF552	ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000028776	ZNF793	ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000008313	ZNF792	ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000014286	ZNF419	ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000043611	ZNF418	ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000020493	ZNF256	ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000047887	ZNF154	ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000042586	ZNF134	ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000009387	ZNF837	ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000006121	ZNF549	ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000005333		ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000010429	ZNF773	ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000019284	ZNF304	ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000008730	ZNF584	ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000020452	ZNF562	ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSMMUG00000051928		ortholog_many2many
ENSMUSG00000056673	Kdm5d	ENSMMUG00000045017	KDM5D	ortholog_one2one
ENSMUSG00000075874	n-R5s1	ENSMMUG00000064504	5S_rRNA	ortholog_one2one
ENSMUSG00000069049	Eif2s3y	ENSMMUG00000006979		ortholog_many2many
ENSMUSG00000069049	Eif2s3y	ENSMMUG00000040183		ortholog_many2many
ENSMUSG00000068457	Uty	ENSMMUG00000038182	UTY	ortholog_one2one
ENSMUSG00000069045	Ddx3y	ENSMMUG00000043966	DDX3Y	ortholog_one2one
ENSMUSG00000069044	Usp9y	ENSMMUG00000045991	USP9Y	ortholog_one2one
ENSMUSG00000077793	Gm25565	ENSMMUG00000064123	U6	ortholog_one2one
ENSMUSG00000000103	Zfy2	ENSMMUG00000005339	ZNF552	ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000028776	ZNF793	ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000008313	ZNF792	ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000014286	ZNF419	ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000043611	ZNF418	ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000020493	ZNF256	ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000047887	ZNF154	ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000042586	ZNF134	ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000009387	ZNF837	ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000006121	ZNF549	ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000005333		ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000010429	ZNF773	ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000019284	ZNF304	ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000008730	ZNF584	ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000020452	ZNF562	ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSMMUG00000051928		ortholog_many2many
ENSMUSG00000069036	Sry	ENSMMUG00000041853	SRY	ortholog_one2one
ENSMUSG00000102053	Gm4064	ENSMMUG00000057875		ortholog_many2many
ENSMUSG00000102053	Gm4064	ENSMMUG00000039261		ortholog_many2many
ENSMUSG00000094658	Rbmy	ENSMMUG00000057875		ortholog_many2many
ENSMUSG00000094658	Rbmy	ENSMMUG00000039261		ortholog_many2many
ENSMUSG00000095852	Gm10256	ENSMMUG00000057875		ortholog_many2many
ENSMUSG00000095852	Gm10256	ENSMMUG00000039261		ortholog_many2many
ENSMUSG00000091987	Gm10352	ENSMMUG00000057875		ortholog_many2many
ENSMUSG00000091987	Gm10352	ENSMMUG00000039261		ortholog_many2many
ENSMUSG00000102739	Gm20772	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000102739	Gm20772	ENSMMUG00000058470		ortholog_many2many
ENSMUSG00000094325	Gm20831	ENSMMUG00000016045		ortholog_many2many
ENSMUSG00000094325	Gm20831	ENSMMUG00000058470		ortholog_many2many
