Gene name	Gene stable ID	Mouse gene stable ID	Mouse gene name	Mouse homology type	Zebrafish gene stable ID	Zebrafish gene name	Zebrafish homology type
	ENSG00000275063	ENSMUSG00000103939	Ighv3-4	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096464	Ighv2-2	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000076672	Ighv3-6	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000094029	Ighv3-3	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096824	Ighv2-7	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000093838	Ighv3-1	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000076674	Ighv3-8	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000076676	Ighv12-3	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096670	Ighv2-6	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000095565	Ighv2-9-1	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096498	Ighv2-5	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000076646	Ighv2-6-8	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000076670	Ighv3-5	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000095866	Ighv2-4	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096638	Ighv2-9	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000094164	Ighv2-3	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000103939	Ighv3-4	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096464	Ighv2-2	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000076672	Ighv3-6	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000094029	Ighv3-3	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096824	Ighv2-7	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000093838	Ighv3-1	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000076674	Ighv3-8	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000076676	Ighv12-3	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096670	Ighv2-6	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000095565	Ighv2-9-1	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096498	Ighv2-5	ortholog_many2many	ENSDARG00000096255	ighv8-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000076646	Ighv2-6-8	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000076670	Ighv3-5	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000095866	Ighv2-4	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096638	Ighv2-9	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000094164	Ighv2-3	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000103939	Ighv3-4	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096464	Ighv2-2	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000076672	Ighv3-6	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000094029	Ighv3-3	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096824	Ighv2-7	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000093838	Ighv3-1	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000076674	Ighv3-8	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000076676	Ighv12-3	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096670	Ighv2-6	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000095565	Ighv2-9-1	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096498	Ighv2-5	ortholog_many2many	ENSDARG00000096259	ighv4-1	ortholog_many2many
	ENSG00000277856						
	ENSG00000274175						
	ENSG00000273532	ENSMUSG00002076121	Gm56420	ortholog_one2many			
	ENSG00000273554	ENSMUSG00000019558	Slc6a8	ortholog_one2many	ENSDARG00000043646	slc6a8	ortholog_one2many
	ENSG00000275869						
	ENSG00000277836						
	ENSG00000276312						
RNA5-8SN4	ENSG00000276700						
5_8S_rRNA	ENSG00000275757						
	ENSG00000273739						
U2	ENSG00000276711						
U2	ENSG00000274202						
TTTY6	ENSG00000131538						
TTTY23	ENSG00000239225						
PRY	ENSG00000169789						
TTTY2B	ENSG00000212856						
USP9Y	ENSG00000114374	ENSMUSG00000069044	Usp9y	ortholog_one2one	ENSDARG00000013708	usp9	ortholog_one2many
PRY2	ENSG00000169807						
TTTY1B	ENSG00000129816						
EIF1AY	ENSG00000198692						
BPY2	ENSG00000183753						
TTTY8B	ENSG00000185700						
TTTY2	ENSG00000212855						
	ENSG00000236951						
TTTY1	ENSG00000129845						
TTTY8	ENSG00000183385						
TTTY4	ENSG00000226906						
TSPY10	ENSG00000236424				ENSDARG00000005015	tspy	ortholog_many2many
TSPY10	ENSG00000236424				ENSDARG00000070560	nap1l4a	ortholog_many2many
TTTY17A	ENSG00000228240						
FAM41AY1	ENSG00000224989						
TTTY6B	ENSG00000131548						
TSPY1	ENSG00000258992				ENSDARG00000005015	tspy	ortholog_many2many
TSPY1	ENSG00000258992				ENSDARG00000070560	nap1l4a	ortholog_many2many
	ENSG00000235059						
RBMY1D	ENSG00000244395	ENSMUSG00000101667	Gm29289	ortholog_many2many			
RBMY1D	ENSG00000244395	ENSMUSG00000093987	Gm21704	ortholog_many2many			
RBMY1D	ENSG00000244395	ENSMUSG00000094511	Gm21693	ortholog_many2many			
RBMY1D	ENSG00000244395	ENSMUSG00000095948	Gm21708	ortholog_many2many			
RBMY1D	ENSG00000244395	ENSMUSG00000091987	Gm10352	ortholog_many2many			
RBMY1D	ENSG00000244395	ENSMUSG00000102053	Gm4064	ortholog_many2many			
RBMY1D	ENSG00000244395	ENSMUSG00000095852	Gm10256	ortholog_many2many			
RBMY1D	ENSG00000244395	ENSMUSG00000094658	Rbmy	ortholog_many2many			
RBMY1D	ENSG00000244395	ENSMUSG00000093918	Gm21677	ortholog_many2many			
RBMY1D	ENSG00000244395	ENSMUSG00000096520	Gm3376	ortholog_many2many			
RNU6-303P	ENSG00000252900						
	ENSG00000252689						
RN7SL702P	ENSG00000243980						
	ENSG00000273966						
RNU6-109P	ENSG00000252173						
RNU6-184P	ENSG00000252323						
HSFY2	ENSG00000169953	ENSMUSG00000045336	Hsfy2	ortholog_one2many			
RNU1-41P	ENSG00000251970						
RNU6-255P	ENSG00000252766						
RNU1-128P	ENSG00000252513						
RNU1-95P	ENSG00000252166						
	ENSG00000278391						
RNU1-48P	ENSG00000252209						
TTTY9B	ENSG00000131007						
KDM5D	ENSG00000012817	ENSMUSG00000056673	Kdm5d	ortholog_one2one	ENSDARG00000061504	kdm4c	ortholog_many2many
HSFY1	ENSG00000172468	ENSMUSG00000045336	Hsfy2	ortholog_one2many			
TGIF2LY	ENSG00000176679	ENSMUSG00000100194	Tgif2lx2	ortholog_many2many	ENSDARG00000052150	pbx4	ortholog_many2many
TGIF2LY	ENSG00000176679	ENSMUSG00000100133	Tgif2lx1	ortholog_many2many	ENSDARG00000052150	pbx4	ortholog_many2many
TGIF2LY	ENSG00000176679	ENSMUSG00000100194	Tgif2lx2	ortholog_many2many	ENSDARG00000019717	pbx2	ortholog_many2many
TGIF2LY	ENSG00000176679	ENSMUSG00000100133	Tgif2lx1	ortholog_many2many	ENSDARG00000019717	pbx2	ortholog_many2many
RBMY1F	ENSG00000169800	ENSMUSG00000101667	Gm29289	ortholog_many2many			
RBMY1F	ENSG00000169800	ENSMUSG00000093987	Gm21704	ortholog_many2many			
RBMY1F	ENSG00000169800	ENSMUSG00000094511	Gm21693	ortholog_many2many			
RBMY1F	ENSG00000169800	ENSMUSG00000095948	Gm21708	ortholog_many2many			
RBMY1F	ENSG00000169800	ENSMUSG00000091987	Gm10352	ortholog_many2many			
RBMY1F	ENSG00000169800	ENSMUSG00000102053	Gm4064	ortholog_many2many			
RBMY1F	ENSG00000169800	ENSMUSG00000095852	Gm10256	ortholog_many2many			
RBMY1F	ENSG00000169800	ENSMUSG00000094658	Rbmy	ortholog_many2many			
RBMY1F	ENSG00000169800	ENSMUSG00000093918	Gm21677	ortholog_many2many			
RBMY1F	ENSG00000169800	ENSMUSG00000096520	Gm3376	ortholog_many2many			
CDY2A	ENSG00000182415				ENSDARG00000038985	cdyl	ortholog_one2many
RN7SKP282	ENSG00000252633						
Y_RNA	ENSG00000251996	ENSMUSG00000084644	Gm24379	ortholog_one2many			
RNU6-941P	ENSG00000252155	ENSMUSG00000065664	Gm22578	ortholog_many2many			
RNU6-941P	ENSG00000252155	ENSMUSG00000118948	Gm23790	ortholog_many2many			
RNU6-521P	ENSG00000252472						
BPY2C	ENSG00000185894						
TTTY4C	ENSG00000228296						
DAZ4	ENSG00000205916				ENSDARG00000036214	dazl	ortholog_one2many
CDY2B	ENSG00000129873				ENSDARG00000038985	cdyl	ortholog_one2many
RNU6-1334P	ENSG00000251841						
SRY	ENSG00000184895	ENSMUSG00000069036	Sry	ortholog_one2one	ENSDARG00000010770	sox19a	ortholog_many2many
SRY	ENSG00000184895	ENSMUSG00000069036	Sry	ortholog_one2one	ENSDARG00000040266	sox19b	ortholog_many2many
SRY	ENSG00000184895	ENSMUSG00000069036	Sry	ortholog_one2one	ENSDARG00000100591	sox32	ortholog_many2many
RPS4Y1	ENSG00000129824				ENSDARG00000014690	rps4x	ortholog_one2many
ZFY	ENSG00000067646						
DDX3Y	ENSG00000067048	ENSMUSG00000069045	Ddx3y	ortholog_one2one	ENSDARG00000005774	ddx3xb	ortholog_many2many
DDX3Y	ENSG00000067048	ENSMUSG00000069045	Ddx3y	ortholog_one2one	ENSDARG00000020573	ddx3xa	ortholog_many2many
UTY	ENSG00000183878	ENSMUSG00000068457	Uty	ortholog_one2one	ENSDARG00000061759	kdm6a	ortholog_one2many
TMSB4Y	ENSG00000154620	ENSMUSG00000049775	Tmsb4x	ortholog_one2one			
VCY	ENSG00000129864						
DAZ3	ENSG00000187191				ENSDARG00000036214	dazl	ortholog_one2many
DAZ1	ENSG00000188120				ENSDARG00000036214	dazl	ortholog_one2many
SNORA70	ENSG00000251925	ENSMUSG00000065036	Gm22362	ortholog_one2many			
AMELY	ENSG00000099721						
TBL1Y	ENSG00000092377	ENSMUSG00000025246	Tbl1x	ortholog_one2many	ENSDARG00000060438	tbl1x	ortholog_one2many
DAZ2	ENSG00000205944				ENSDARG00000036214	dazl	ortholog_one2many
TSPY2	ENSG00000168757				ENSDARG00000005015	tspy	ortholog_many2many
TSPY2	ENSG00000168757				ENSDARG00000070560	nap1l4a	ortholog_many2many
RBMY1E	ENSG00000242389	ENSMUSG00000101667	Gm29289	ortholog_many2many			
RBMY1E	ENSG00000242389	ENSMUSG00000093987	Gm21704	ortholog_many2many			
RBMY1E	ENSG00000242389	ENSMUSG00000094511	Gm21693	ortholog_many2many			
RBMY1E	ENSG00000242389	ENSMUSG00000095948	Gm21708	ortholog_many2many			
RBMY1E	ENSG00000242389	ENSMUSG00000091987	Gm10352	ortholog_many2many			
RBMY1E	ENSG00000242389	ENSMUSG00000102053	Gm4064	ortholog_many2many			
RBMY1E	ENSG00000242389	ENSMUSG00000095852	Gm10256	ortholog_many2many			
RBMY1E	ENSG00000242389	ENSMUSG00000094658	Rbmy	ortholog_many2many			
RBMY1E	ENSG00000242389	ENSMUSG00000093918	Gm21677	ortholog_many2many			
RBMY1E	ENSG00000242389	ENSMUSG00000096520	Gm3376	ortholog_many2many			
NLGN4Y	ENSG00000165246	ENSMUSG00000121607		ortholog_one2many	ENSDARG00000077761	nlgn4xb	ortholog_many2many
NLGN4Y	ENSG00000165246	ENSMUSG00000121607		ortholog_one2many	ENSDARG00000079455	nlgn4xa	ortholog_many2many
RNU1-40P	ENSG00000252625						
SNORA70	ENSG00000251796	ENSMUSG00000065036	Gm22362	ortholog_one2many			
RNU6-1314P	ENSG00000252948						
VCY1B	ENSG00000129862						
RPS4Y2	ENSG00000280969				ENSDARG00000014690	rps4x	ortholog_one2many
RNU1-97P	ENSG00000252681						
RNU2-57P	ENSG00000252468						
PCDH11Y	ENSG00000099715	ENSMUSG00000034755	Pcdh11x	ortholog_one2many	ENSDARG00000098652	pcdh11	ortholog_one2many
TTTY3B	ENSG00000280961						
RNU1-86P	ENSG00000251917						
CDY1B	ENSG00000172352				ENSDARG00000038985	cdyl	ortholog_one2many
RN7SL818P	ENSG00000274234						
TTTY17B	ENSG00000227439						
TTTY4B	ENSG00000235412						
BPY2B	ENSG00000183795						
RN7SL725P	ENSG00000278242						
RNU1-107P	ENSG00000252426						
TTTY3	ENSG00000231141						
CDY1	ENSG00000172288				ENSDARG00000038985	cdyl	ortholog_one2many
RBMY1J	ENSG00000226941	ENSMUSG00000101667	Gm29289	ortholog_many2many			
RBMY1J	ENSG00000226941	ENSMUSG00000093987	Gm21704	ortholog_many2many			
RBMY1J	ENSG00000226941	ENSMUSG00000094511	Gm21693	ortholog_many2many			
RBMY1J	ENSG00000226941	ENSMUSG00000095948	Gm21708	ortholog_many2many			
RBMY1J	ENSG00000226941	ENSMUSG00000091987	Gm10352	ortholog_many2many			
RBMY1J	ENSG00000226941	ENSMUSG00000102053	Gm4064	ortholog_many2many			
RBMY1J	ENSG00000226941	ENSMUSG00000095852	Gm10256	ortholog_many2many			
RBMY1J	ENSG00000226941	ENSMUSG00000094658	Rbmy	ortholog_many2many			
RBMY1J	ENSG00000226941	ENSMUSG00000093918	Gm21677	ortholog_many2many			
RBMY1J	ENSG00000226941	ENSMUSG00000096520	Gm3376	ortholog_many2many			
TSPY9	ENSG00000238074				ENSDARG00000005015	tspy	ortholog_many2many
TSPY9	ENSG00000238074				ENSDARG00000070560	nap1l4a	ortholog_many2many
RBMY1B	ENSG00000242875	ENSMUSG00000101667	Gm29289	ortholog_many2many			
RBMY1B	ENSG00000242875	ENSMUSG00000093987	Gm21704	ortholog_many2many			
RBMY1B	ENSG00000242875	ENSMUSG00000094511	Gm21693	ortholog_many2many			
RBMY1B	ENSG00000242875	ENSMUSG00000095948	Gm21708	ortholog_many2many			
RBMY1B	ENSG00000242875	ENSMUSG00000091987	Gm10352	ortholog_many2many			
RBMY1B	ENSG00000242875	ENSMUSG00000102053	Gm4064	ortholog_many2many			
RBMY1B	ENSG00000242875	ENSMUSG00000095852	Gm10256	ortholog_many2many			
RBMY1B	ENSG00000242875	ENSMUSG00000094658	Rbmy	ortholog_many2many			
RBMY1B	ENSG00000242875	ENSMUSG00000093918	Gm21677	ortholog_many2many			
RBMY1B	ENSG00000242875	ENSMUSG00000096520	Gm3376	ortholog_many2many			
RBMY1A1	ENSG00000234414	ENSMUSG00000101667	Gm29289	ortholog_many2many			
RBMY1A1	ENSG00000234414	ENSMUSG00000093987	Gm21704	ortholog_many2many			
RBMY1A1	ENSG00000234414	ENSMUSG00000094511	Gm21693	ortholog_many2many			
RBMY1A1	ENSG00000234414	ENSMUSG00000095948	Gm21708	ortholog_many2many			
RBMY1A1	ENSG00000234414	ENSMUSG00000091987	Gm10352	ortholog_many2many			
RBMY1A1	ENSG00000234414	ENSMUSG00000102053	Gm4064	ortholog_many2many			
RBMY1A1	ENSG00000234414	ENSMUSG00000095852	Gm10256	ortholog_many2many			
RBMY1A1	ENSG00000234414	ENSMUSG00000094658	Rbmy	ortholog_many2many			
RBMY1A1	ENSG00000234414	ENSMUSG00000093918	Gm21677	ortholog_many2many			
RBMY1A1	ENSG00000234414	ENSMUSG00000096520	Gm3376	ortholog_many2many			
FAM197Y5	ENSG00000290330						
	ENSG00000290348						
TTTY23B	ENSG00000290369						
FAM197Y4	ENSG00000290373						
TTTY9A	ENSG00000290716						
XKRY	ENSG00000290724						
TSPY4	ENSG00000233803				ENSDARG00000005015	tspy	ortholog_many2many
TSPY4	ENSG00000233803				ENSDARG00000070560	nap1l4a	ortholog_many2many
TSPY8	ENSG00000229549				ENSDARG00000005015	tspy	ortholog_many2many
TSPY8	ENSG00000229549				ENSDARG00000070560	nap1l4a	ortholog_many2many
TSPY3	ENSG00000228927				ENSDARG00000005015	tspy	ortholog_many2many
TSPY3	ENSG00000228927				ENSDARG00000070560	nap1l4a	ortholog_many2many
	ENSG00000293249						
	ENSG00000293280						
XKRYP7	ENSG00000290725						
FAM41AY2	ENSG00000290726						
	ENSG00000280614						
TMPRSS15	ENSG00000154646	ENSMUSG00000022857	Tmprss15	ortholog_one2one			
	ENSG00000276077						
CXADR	ENSG00000154639	ENSMUSG00000044860	Gm1123	ortholog_one2one	ENSDARG00000043658	cxadr	ortholog_one2one
PARP4	ENSG00000102699	ENSMUSG00000054509	Parp4	ortholog_one2one	ENSDARG00000069934	parp4	ortholog_one2one
IGHV1OR21-1	ENSG00000277282						
MIPEP	ENSG00000027001	ENSMUSG00000021993	Mipep	ortholog_one2one	ENSDARG00000055344	mipep	ortholog_one2many
MIPEP	ENSG00000027001	ENSMUSG00000021993	Mipep	ortholog_one2one	ENSDARG00000055339	si:ch73-1a9.4	ortholog_one2many
KATNAL1	ENSG00000102781	ENSMUSG00000041298	Katnal1	ortholog_one2one	ENSDARG00000099156	katnal1	ortholog_one2one
KRTAP25-1	ENSG00000232263						
JAM2	ENSG00000154721	ENSMUSG00000053062	Jam2	ortholog_one2one	ENSDARG00000079071	jam2b	ortholog_many2many
JAM2	ENSG00000154721	ENSMUSG00000053062	Jam2	ortholog_one2one	ENSDARG00000058996	jam2a	ortholog_many2many
UBE2L5	ENSG00000236444				ENSDARG00000027141	ube2l3b	ortholog_many2many
UBE2L5	ENSG00000236444				ENSDARG00000112087	ube2l3a	ortholog_many2many
HMGB1	ENSG00000189403				ENSDARG00000099175	hmgb1a	ortholog_many2many
HMGB1	ENSG00000189403				ENSDARG00000030479	hmgb1b	ortholog_many2many
CLDN17	ENSG00000156282	ENSMUSG00000055811	Cldn17	ortholog_one2one			
KPNA3	ENSG00000102753	ENSMUSG00000021929	Kpna3	ortholog_one2one	ENSDARG00000052641	kpna3	ortholog_one2one
KRTAP24-1	ENSG00000188694	ENSMUSG00000050239	Krtap24-1	ortholog_one2one			
	ENSG00000281181						
SLC5A3	ENSG00000198743	ENSMUSG00000089774	Slc5a3	ortholog_one2one	ENSDARG00000010376	slc5a3a	ortholog_one2many
SLC5A3	ENSG00000198743	ENSMUSG00000089774	Slc5a3	ortholog_one2one	ENSDARG00000077812	slc5a3b	ortholog_one2many
CRYL1	ENSG00000165475	ENSMUSG00000021947	Cryl1	ortholog_one2one	ENSDARG00000003675	cryl1	ortholog_one2one
SCAF4	ENSG00000156304	ENSMUSG00000022983	Scaf4	ortholog_one2one	ENSDARG00000018854	scaf4b	ortholog_one2many
SCAF4	ENSG00000156304	ENSMUSG00000022983	Scaf4	ortholog_one2one	ENSDARG00000077093	scaf4a	ortholog_one2many
CAB39L	ENSG00000102547	ENSMUSG00000021981	Cab39l	ortholog_one2one	ENSDARG00000036658	cab39l	ortholog_one2one
DNAJC15	ENSG00000120675	ENSMUSG00000022013	Dnajc15	ortholog_one2one	ENSDARG00000038309	dnajc15	ortholog_one2one
GPR12	ENSG00000132975	ENSMUSG00000041468	Gpr12	ortholog_one2one	ENSDARG00000062934	gpr12	ortholog_one2one
NCAM2	ENSG00000154654	ENSMUSG00000022762	Ncam2	ortholog_one2one	ENSDARG00000017466	ncam2	ortholog_one2many
NCAM2	ENSG00000154654	ENSMUSG00000022762	Ncam2	ortholog_one2one	ENSDARG00000098523	NCAM2	ortholog_one2many
WASF3	ENSG00000132970	ENSMUSG00000029636	Wasf3	ortholog_one2one	ENSDARG00000062948	wasf3b	ortholog_one2many
WASF3	ENSG00000132970	ENSMUSG00000029636	Wasf3	ortholog_one2one	ENSDARG00000059466	wasf3a	ortholog_one2many
CLDN8	ENSG00000156284	ENSMUSG00000050520	Cldn8	ortholog_one2one	ENSDARG00000099950	cldn17	ortholog_one2one
HUNK	ENSG00000142149	ENSMUSG00000053414	Hunk	ortholog_one2one			
POSTN	ENSG00000133110	ENSMUSG00000027750	Postn	ortholog_one2one	ENSDARG00000104267	postnb	ortholog_one2many
POSTN	ENSG00000133110	ENSMUSG00000027750	Postn	ortholog_one2one	ENSDARG00000043806	postna	ortholog_one2many
MORC3	ENSG00000159256	ENSMUSG00000039456	Morc3	ortholog_one2one	ENSDARG00000056679	morc3a	ortholog_many2many
PAXBP1	ENSG00000159086	ENSMUSG00000022974	Paxbp1	ortholog_one2one	ENSDARG00000062361	paxbp1	ortholog_one2one
ITSN1	ENSG00000205726	ENSMUSG00000022957	Itsn1	ortholog_one2one	ENSDARG00000000086	itsn1	ortholog_one2one
FNDC3A	ENSG00000102531	ENSMUSG00000033487	Fndc3a	ortholog_one2one	ENSDARG00000105503	fndc3a	ortholog_one2one
COLEC12	ENSG00000158270	ENSMUSG00000036103	Colec12	ortholog_one2one	ENSDARG00000061140	colec12	ortholog_one2one
IMPA2	ENSG00000141401	ENSMUSG00000024525	Impa2	ortholog_one2one	ENSDARG00000059411	impa2	ortholog_one2one
LHFPL6	ENSG00000183722	ENSMUSG00000048332	Lhfpl6	ortholog_one2one	ENSDARG00000004363	lhfpl6	ortholog_many2many
LHFPL6	ENSG00000183722	ENSMUSG00000048332	Lhfpl6	ortholog_one2one	ENSDARG00000115101		ortholog_many2many
RAB31	ENSG00000168461	ENSMUSG00000056515	Rab31	ortholog_one2one	ENSDARG00000115832	LO018490.1	ortholog_one2one
AKAP11	ENSG00000023516	ENSMUSG00000022016	Akap11	ortholog_one2one	ENSDARG00000075435	akap11	ortholog_one2one
ERICH6B	ENSG00000165837	ENSMUSG00000022002	Erich6b	ortholog_one2one			
YES1	ENSG00000176105	ENSMUSG00000014932	Yes1	ortholog_one2one	ENSDARG00000005941	clul1	ortholog_one2one
KLHL14	ENSG00000197705	ENSMUSG00000042514	Klhl14	ortholog_one2one	ENSDARG00000045275	klhl14	ortholog_one2one
KLHL1	ENSG00000150361	ENSMUSG00000022076	Klhl1	ortholog_one2one			
GTF3A	ENSG00000122034	ENSMUSG00000016503	Gtf3a	ortholog_one2one	ENSDARG00000030267	gtf3aa	ortholog_one2many
GTF3A	ENSG00000122034	ENSMUSG00000016503	Gtf3a	ortholog_one2one	ENSDARG00000071583	gtf3ab	ortholog_one2many
ELF1	ENSG00000120690	ENSMUSG00000036461	Elf1	ortholog_one2one			
SCEL	ENSG00000136155	ENSMUSG00000022123	Scel	ortholog_one2one			
FREM2	ENSG00000150893	ENSMUSG00000037016	Frem2	ortholog_one2one	ENSDARG00000102626	frem2b	ortholog_one2one
PRR20B	ENSG00000204918						
TBC1D4	ENSG00000136111	ENSMUSG00000033083	Tbc1d4	ortholog_one2one	ENSDARG00000075156	tbc1d4	ortholog_one2one
CELF4	ENSG00000101489	ENSMUSG00000024268	Celf4	ortholog_one2one	ENSDARG00000070045	celf4	ortholog_one2one
PRR20D	ENSG00000227151						
SPRY2	ENSG00000136158	ENSMUSG00000022114	Spry2	ortholog_one2one	ENSDARG00000078308	spry2	ortholog_one2one
PRR20E	ENSG00000234278						
