Gene stable ID	Gene name	Zebrafish gene stable ID	Zebrafish gene name	Zebrafish homology type
ENSMUSG00000100045	Gm20929	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000093950	Gm20823	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000100856	Gm21627	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000101766	Gm20908	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000095785	Gm20924	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000093993	Gm20736	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000096666	Gm20852	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000095302	Ssty2	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000096016	Gm20937	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000103919	Gm21366	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000093868	Gm20809	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000093927	Gm20918	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000095148	Gm20873	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000096686	Gm20830	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000100939	Gm28998	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000094081	Gm20826	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000100645	Gm28576	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000099861	Gm29049	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000095324	Gm20825	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000101928	Gm20824	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000101053	Gm20815	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000095032	Gm21310	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000095242	Gm20834	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000094838	Gm20828	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000095172	Gm20822	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000094294	Gm20909	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000093848	Gm20865	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000053211	Zfy1	ENSDARG00000098424		ortholog_many2many
ENSMUSG00000053211	Zfy1	ENSDARG00000074453		ortholog_many2many
ENSMUSG00000069053	Uba1y	ENSDARG00000061222		ortholog_many2many
ENSMUSG00000056673	Kdm5d	ENSDARG00000061504	kdm4c	ortholog_many2many
ENSMUSG00000069049	Eif2s3y	ENSDARG00000008292	eif2s3	ortholog_one2many
ENSMUSG00000068457	Uty	ENSDARG00000061759	KDM6A	ortholog_one2many
ENSMUSG00000069045	Ddx3y	ENSDARG00000020573	ddx3xa	ortholog_many2many
ENSMUSG00000069045	Ddx3y	ENSDARG00000005774	ddx3xb	ortholog_many2many
ENSMUSG00000069044	Usp9y	ENSDARG00000013708	usp9	ortholog_one2many
ENSMUSG00000000103	Zfy2	ENSDARG00000098424		ortholog_many2many
ENSMUSG00000000103	Zfy2	ENSDARG00000074453		ortholog_many2many
ENSMUSG00000069036	Sry	ENSDARG00000010770	sox19a	ortholog_many2many
ENSMUSG00000069036	Sry	ENSDARG00000040266	sox19b	ortholog_many2many
ENSMUSG00000069036	Sry	ENSDARG00000100591	sox32	ortholog_many2many
ENSMUSG00000095365	Rbm31y	ENSDARG00000003429	hnrnpdl	ortholog_one2many
ENSMUSG00000102739	Gm20772	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000094325	Gm20831	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000095267	Ssty1	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000095520	Gm20877	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000104267	Gm20807	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000103468	Gm21440	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000093903	Gm21454	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000101155	Sly	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000096122	Gm21943	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000101399	Gm28961	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000094052	Gm21118	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000099948	Gm29424	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000100231	Gm29554	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000095508	Gm20812	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000095606	Gm21258	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000094570	Gm20931	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000095867	Gm20917	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000094746	Gm20916	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000095793	Gm20855	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000096650	Gm20896	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000099531	Gm20869	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000094660	Gm21394	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000099840	Gm21409	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000100485	Gm20920	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000101158	Gm20894	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000101286	Gm21317	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000101933	Gm20835	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000099894	Gm20911	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000096769	Gm21117	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000094616	Gm20888	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000094647	Gm21650	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000094821	Gm21518	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000095979	Gm21209	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000096902	Gm20843	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000102045	Gm21294	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000095153	Gm21095	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000099541	Gm21488	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000100055	Gm20890	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000024304	Cdh2	ENSDARG00000018693	cdh2	ortholog_one2one
ENSMUSG00000100708	Gm21173	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000100726	Gm21497	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000100972	Gm28553	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000095578	Gm21760	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000095135	Gm21858	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000048799	Cep120	ENSDARG00000091326	CEP120	ortholog_one2one
ENSMUSG00000100667	Gm57478	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000101653	Gm20792	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000093895	Gm21865	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000103371	Gm35134	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000104191	Gm30737	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000100608	Gm21996	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000101915	Gm28102	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000094789	Gm28490	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000100467	Gm29582	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000100338	Gm28870	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000059898	Dsc3	ENSDARG00000039677	dsc2l	ortholog_one2many
ENSMUSG00000094181	Gm21739	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000094782	Gm21256	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000095011	Gm20838	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000095141	Gm28891	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000096178	Gm20837	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000096626	Gm21861	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000099740	Gm28897	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000099792	Gm29564	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000099925	Gm28827	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000101528	Gm29110	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000103528	Gm31571	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000102668	Gm29866	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000094813	Gm20777	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000101396	Gm28510	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000024331	Dsc2	ENSDARG00000039677	dsc2l	ortholog_one2many
ENSMUSG00000095950	Gm20737	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000101243	Gm28919	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000079806	Gm21719	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000100634	Gm28171	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000096036	Gm21778	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000096706	Gm21854	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000096268	Gm20914	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000094773	Gm21812	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000020607	Lratd1	ENSDARG00000018921	lratd1	ortholog_one2one
ENSMUSG00000096223	Gm21874	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000094556	Gm20821	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000094484	Gm21244	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000091077	Gm21292	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000094679	Gm21721	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000096820	Gm21425	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000095900	Gm20773	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000044322	Dsc1	ENSDARG00000039677	dsc2l	ortholog_one2many
ENSMUSG00000020601	Trib2	ENSDARG00000068179	TRIB2	ortholog_one2one
ENSMUSG00000071235	Vrtn	ENSDARG00000061963	vrtn	ortholog_one2one
ENSMUSG00000034774	Dsg1c	ENSDARG00000062750		ortholog_one2many
ENSMUSG00000033863	Klf9	ENSDARG00000068194	klf9	ortholog_one2one
ENSMUSG00000069441	Dsg1a	ENSDARG00000062750		ortholog_one2many
ENSMUSG00000071234	Syndig1l	ENSDARG00000042390	syndig1l	ortholog_one2one
ENSMUSG00000061928	Dsg1b	ENSDARG00000062750		ortholog_one2many
ENSMUSG00000035142	Nubpl	ENSDARG00000054821	nubpl	ortholog_one2one
ENSMUSG00000095452	Gm20795	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000053644	Aldh7a1	ENSDARG00000018426	aldh7a1	ortholog_one2one
ENSMUSG00000021242	Npc2	ENSDARG00000090912	npc2.1	ortholog_one2many
ENSMUSG00000021242	Npc2	ENSDARG00000096979	npc2.2	ortholog_one2many
ENSMUSG00000021241	Isca2	ENSDARG00000038154	isca2	ortholog_one2one
ENSMUSG00000024943	Smc5	ENSDARG00000044282	smc5	ortholog_one2one
ENSMUSG00000035133	Arhgap5	ENSDARG00000061294	ARHGAP5	ortholog_one2one
ENSMUSG00000061603	Akap6	ENSDARG00000077295	AKAP6	ortholog_one2one
ENSMUSG00000021010	Npas3	ENSDARG00000109820	NPAS3	ortholog_one2one
ENSMUSG00000001804	Dsg4	ENSDARG00000062750		ortholog_one2many
ENSMUSG00000008301	Phax	ENSDARG00000044298	phax	ortholog_one2one
ENSMUSG00000095263	Gm21094	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000033207	Mamdc2	ENSDARG00000098345	mamdc2a	ortholog_one2one
ENSMUSG00000035105	Egln3	ENSDARG00000032553	egln3	ortholog_one2one
ENSMUSG00000024590	Lmnb1	ENSDARG00000044299	lmnb1	ortholog_one2one
ENSMUSG00000094399	Gm21477	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000074925	Ptar1	ENSDARG00000102338	ptar1	ortholog_one2one
ENSMUSG00000032656	Marchf3	ENSDARG00000062959	zgc:158785	ortholog_many2many
ENSMUSG00000024897	Apba1	ENSDARG00000074328	APBA1	ortholog_one2many
ENSMUSG00000024897	Apba1	ENSDARG00000103848	APBA1	ortholog_one2many
ENSMUSG00000056632	Dsg3	ENSDARG00000062750		ortholog_one2many
ENSMUSG00000071604	Entrep1	ENSDARG00000099946	ENTREP1	ortholog_one2one
ENSMUSG00000044117	Bmerb1	ENSDARG00000086706	bmerb1	ortholog_one2one
ENSMUSG00000033063	Cntnap3	ENSDARG00000067824		ortholog_one2one
ENSMUSG00000022827	Rabl3	ENSDARG00000040959	rabl3	ortholog_one2one
ENSMUSG00000024812	Tjp2	ENSDARG00000063309	tjp2a	ortholog_one2many
ENSMUSG00000024812	Tjp2	ENSDARG00000023443	tjp2b	ortholog_one2many
ENSMUSG00000024592	C330018D20Rik	ENSDARG00000095594	C10H5orf63	ortholog_one2one
ENSMUSG00000047094	Ofcc1	ENSDARG00000104791		ortholog_one2one
ENSMUSG00000044393	Dsg2	ENSDARG00000062750		ortholog_one2many
ENSMUSG00000017843	Ppp2r5c	ENSDARG00000059083	PPP2R5C	ortholog_one2many
ENSMUSG00000017843	Ppp2r5c	ENSDARG00000031200	ppp2r5cb	ortholog_one2many
ENSMUSG00000022821	Hgd	ENSDARG00000058005	hgd	ortholog_one2one
ENSMUSG00000041817	Fam169a	ENSDARG00000059719	fam169aa	ortholog_one2many
ENSMUSG00000041817	Fam169a	ENSDARG00000004177		ortholog_one2many
ENSMUSG00000061808	Ttr	ENSDARG00000037191	ttr	ortholog_one2one
ENSMUSG00000022820	Ndufb4	ENSDARG00000019332	ndufb4	ortholog_one2one
ENSMUSG00000056124	B4galt6	ENSDARG00000037815	b4galt5	ortholog_one2one
ENSMUSG00000060657	Marf1	ENSDARG00000115222	MARF1	ortholog_one2one
ENSMUSG00000059363	Fxn	ENSDARG00000074356	fxn	ortholog_one2one
ENSMUSG00000057762	Prp2rt	ENSDARG00000042972	plp2a	ortholog_many2many
ENSMUSG00000057762	Prp2rt	ENSDARG00000036630	plp2b	ortholog_many2many
ENSMUSG00000024593	Megf10	ENSDARG00000017229	megf10	ortholog_one2one
ENSMUSG00000060739	Nsa2	ENSDARG00000007708	nsa2	ortholog_one2one
ENSMUSG00000024867	Pip5k1b	ENSDARG00000006508	pip5k1bb	ortholog_one2many
ENSMUSG00000024867	Pip5k1b	ENSDARG00000104849		ortholog_one2many
ENSMUSG00000024867	Pip5k1b	ENSDARG00000044295	pip5k1ba	ortholog_one2many
ENSMUSG00000021359	Tfap2a	ENSDARG00000059279	tfap2a	ortholog_one2one
ENSMUSG00000022816	Fstl1	ENSDARG00000015559	fstl1a	ortholog_one2many
ENSMUSG00000022816	Fstl1	ENSDARG00000039576	fstl1b	ortholog_one2many
ENSMUSG00000033382	Trappc8	ENSDARG00000038866	TRAPPC8	ortholog_one2one
ENSMUSG00000042350	Arel1	ENSDARG00000100359	AREL1	ortholog_one2one
ENSMUSG00000034158	Lrrc58	ENSDARG00000076773	lrrc58a	ortholog_one2many
ENSMUSG00000034158	Lrrc58	ENSDARG00000063509	LRRC58	ortholog_one2many
ENSMUSG00000046961	Gpr156	ENSDARG00000086215	GPR156	ortholog_one2one
ENSMUSG00000074922	Pabir1	ENSDARG00000036500	pabir2	ortholog_one2many
ENSMUSG00000041731	Pgm5	ENSDARG00000060745	pgm5	ortholog_one2one
ENSMUSG00000022812	Gsk3b	ENSDARG00000052468	gsk3bb	ortholog_one2many
ENSMUSG00000022812	Gsk3b	ENSDARG00000017803	gsk3ba	ortholog_one2many
ENSMUSG00000049134	Nrap	ENSDARG00000009341	nrap	ortholog_one2one
ENSMUSG00000022678	Nde1	ENSDARG00000103902	nde1	ortholog_one2one
ENSMUSG00000018707	Dync1h1	ENSDARG00000014717	DYNC1H1	ortholog_one2one
ENSMUSG00000024313	Mep1b	ENSDARG00000040683	MEP1B	ortholog_one2many
ENSMUSG00000024313	Mep1b	ENSDARG00000037533	mep1ba	ortholog_one2many
ENSMUSG00000042680	Garem1	ENSDARG00000017242	garem	ortholog_one2one
ENSMUSG00000002489	Tiam1	ENSDARG00000025920	TIAM1	ortholog_one2many
ENSMUSG00000002489	Tiam1	ENSDARG00000078430	TIAM1	ortholog_one2many
ENSMUSG00000038683	Pak1ip1	ENSDARG00000044488	pak1ip1	ortholog_one2one
ENSMUSG00000024598	Fbn2	ENSDARG00000051896	FBN2	ortholog_one2one
ENSMUSG00000021243	Fcf1	ENSDARG00000102333	fcf1	ortholog_one2one
ENSMUSG00000047462	Gpr141b	ENSDARG00000077026	GPR141	ortholog_one2many
ENSMUSG00000063905	Zfp1000	ENSDARG00000057707	zgc:66443	ortholog_one2many
ENSMUSG00000021361	Tmem14c	ENSDARG00000110836	tmem14ca	ortholog_one2many
ENSMUSG00000021361	Tmem14c	ENSDARG00000114991	tmem14cb	ortholog_one2many
ENSMUSG00000021270	Hsp90aa1	ENSDARG00000024746	hsp90aa1.2	ortholog_one2one
ENSMUSG00000053101	Gpr141	ENSDARG00000077026	GPR141	ortholog_one2many
ENSMUSG00000041112	Elmo1	ENSDARG00000098753	elmo1	ortholog_one2many
ENSMUSG00000041112	Elmo1	ENSDARG00000055400		ortholog_one2many
ENSMUSG00000042514	Klhl14	ENSDARG00000045275	KLHL14	ortholog_one2one
ENSMUSG00000024600	Slc27a6	ENSDARG00000046053	slc27a6	ortholog_one2one
ENSMUSG00000022982	Sod1	ENSDARG00000043848	sod1	ortholog_one2one
ENSMUSG00000020593	Lpin1	ENSDARG00000020239	lpin1a	ortholog_one2many
ENSMUSG00000020593	Lpin1	ENSDARG00000103380		ortholog_one2many
ENSMUSG00000022983	Scaf4	ENSDARG00000077093	SCAF4	ortholog_one2many
ENSMUSG00000022983	Scaf4	ENSDARG00000018854	scaf4b	ortholog_one2many
ENSMUSG00000024601	Isoc1	ENSDARG00000060069	isoc1	ortholog_one2one
ENSMUSG00000056380	Gpr50	ENSDARG00000035609	mtnr1c	ortholog_one2one
ENSMUSG00000024878	Zng1	ENSDARG00000004318	cbwd	ortholog_one2one
ENSMUSG00000033965	Slc16a2	ENSDARG00000098694		ortholog_one2one
ENSMUSG00000073257	Gm10488	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000025076	Casp7	ENSDARG00000091836	casp7	ortholog_one2one
ENSMUSG00000073131	Vma21	ENSDARG00000093945	vma21	ortholog_one2one
ENSMUSG00000021363	Mak	ENSDARG00000059287	mak	ortholog_one2one
ENSMUSG00000052085	Dock8	ENSDARG00000055225	DOCK8	ortholog_one2one
ENSMUSG00000073255	Gm14632	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000050875	Minar2	ENSDARG00000078922		ortholog_one2one
ENSMUSG00000064471	Gm23406	ENSDARG00000081937		ortholog_one2many
ENSMUSG00000022978	Mis18a	ENSDARG00000035333		ortholog_one2one
ENSMUSG00000041380	Htr2c	ENSDARG00000013210		ortholog_one2many
ENSMUSG00000041380	Htr2c	ENSDARG00000018228	htr2cl1	ortholog_one2many
ENSMUSG00000058152	Chsy3	ENSDARG00000069472	chsy3	ortholog_one2one
ENSMUSG00000039929	Urb1	ENSDARG00000060308	urb1	ortholog_one2one
ENSMUSG00000073555	Iigp1c	ENSDARG00000070774	irgf1	ortholog_many2many
ENSMUSG00000073555	Iigp1c	ENSDARG00000062828		ortholog_many2many
ENSMUSG00000073555	Iigp1c	ENSDARG00000062820		ortholog_many2many
ENSMUSG00000073555	Iigp1c	ENSDARG00000092249		ortholog_many2many
ENSMUSG00000056537	Rlim	ENSDARG00000079306	RLIM	ortholog_one2one
ENSMUSG00000068606	Gm4841	ENSDARG00000070774	irgf1	ortholog_many2many
ENSMUSG00000068606	Gm4841	ENSDARG00000062828		ortholog_many2many
ENSMUSG00000068606	Gm4841	ENSDARG00000062820		ortholog_many2many
ENSMUSG00000068606	Gm4841	ENSDARG00000092249		ortholog_many2many
ENSMUSG00000032702	Kank1	ENSDARG00000060102	KANK1	ortholog_one2one
ENSMUSG00000090942	F830016B08Rik	ENSDARG00000070774	irgf1	ortholog_many2many
ENSMUSG00000090942	F830016B08Rik	ENSDARG00000062828		ortholog_many2many
ENSMUSG00000090942	F830016B08Rik	ENSDARG00000062820		ortholog_many2many
ENSMUSG00000090942	F830016B08Rik	ENSDARG00000092249		ortholog_many2many
ENSMUSG00000054072	Iigp1	ENSDARG00000070774	irgf1	ortholog_many2many
ENSMUSG00000054072	Iigp1	ENSDARG00000062828		ortholog_many2many
ENSMUSG00000054072	Iigp1	ENSDARG00000062820		ortholog_many2many
ENSMUSG00000054072	Iigp1	ENSDARG00000092249		ortholog_many2many
ENSMUSG00000077767	Snora35	ENSDARG00000080450		ortholog_one2many
ENSMUSG00000024603	Dctn4	ENSDARG00000023988	dctn4	ortholog_one2one
ENSMUSG00000073130	Pasd1	ENSDARG00000016536	npas2	ortholog_many2many
ENSMUSG00000024837	Dmrt1	ENSDARG00000007349	dmrt1	ortholog_one2one
ENSMUSG00000042372	Dmrt3	ENSDARG00000035290	dmrt3a	ortholog_one2one
ENSMUSG00000021666	Gfm2	ENSDARG00000005561	gfm2	ortholog_one2one
ENSMUSG00000094759	Gm10487	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000048138	Dmrt2	ENSDARG00000015072	dmrt2a	ortholog_one2one
ENSMUSG00000018830	Myh11	ENSDARG00000100972	MYH11	ortholog_one2many
ENSMUSG00000018830	Myh11	ENSDARG00000009782	myh11a	ortholog_one2many
ENSMUSG00000033361	Prrg3	ENSDARG00000079102	PRRG3	ortholog_one2one
ENSMUSG00000025078	Nhlrc2	ENSDARG00000089581	NHLRC2	ortholog_one2one
ENSMUSG00000046449	Nexmif	ENSDARG00000029296	NEXMIF	ortholog_one2many
ENSMUSG00000046449	Nexmif	ENSDARG00000089271	NEXMIF	ortholog_one2many
ENSMUSG00000035283	Adrb1	ENSDARG00000007490	adrb1	ortholog_one2one
ENSMUSG00000035173	Ccdc186	ENSDARG00000061020	CCDC186	ortholog_one2one
